"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.688454970458505,0.0207681992817121,0.648202781979139,0.674287901125291,0.688437132873607,0.702969829442054,0.729272941087217,1.01768320889715,109,0,1
"mean.sF",0.708226782251918,0.01632217384826,0.675941385185912,0.696558810281072,0.708377872752182,0.719520027473859,0.738814949654389,1.02491758358946,102,0,1
"mean.fV",0.452307786311245,0.0541219218046996,0.359382735217165,0.41341928067112,0.447099400545169,0.486117530230995,0.575771273071179,1.06103552221852,32,0,1
"mean.fF",0.712001577033132,0.0398758529047284,0.623361668752335,0.687107558492688,0.714956469713655,0.739956306861896,0.782027903673195,1.04493788806411,42,0,1
"mean.dV",0.48162374909942,0.0688881892880535,0.326545378976634,0.440216009478123,0.490602724445616,0.530321638131176,0.592050574934943,1.06715887376827,32,0,1
"mean.dF",0.51549072587144,0.0429102585672859,0.426631519625463,0.487743345747321,0.518831858056319,0.544638117349045,0.594408528905856,1.07037637992496,29,0,1
"deviance",4083.26757918398,45.3996329531857,3996.0936462663,4053.58702739947,4083.94497204788,4113.74412891704,4175.32790947219,1.00085967554558,1600,0,1
