"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.710702260257627,0.0144539442268845,0.682814584301527,0.700955793054149,0.710914536746804,0.720220833053965,0.738807378364797,1.00235885738283,1179,0,1
"mean.sF",0.693169586462802,0.0131887139325585,0.66632209348464,0.684352905124593,0.693356373717574,0.702311513548294,0.71871738451436,1.00527783921958,392,0,1
"mean.fV",0.505998833599908,0.0244156270446935,0.458679394982384,0.488736409658938,0.506107644575901,0.522410338101498,0.553888619874004,1.00402196778117,369,0,1
"mean.fF",0.708773163644293,0.0185307091007879,0.66937828028684,0.69703545955028,0.70945646733111,0.721931473333742,0.742010100957966,1.00973816887844,153,0,1
"mean.dV",0.0970979030722464,0.0359978220235141,0.0300214616953472,0.0728871977296811,0.0973772920016226,0.119476457888629,0.170347273747167,1.0278796288997,60,0,1
"mean.dF",0.106765342938781,0.0233243018298389,0.0598437050472293,0.0913261936520158,0.107140858694179,0.122677303800668,0.14975215628261,1.02362581045779,69,0,1
"deviance",4208.8748716645,58.7474319407722,4099.29537421942,4170.19406632256,4208.42245242979,4248.37941382367,4324.75554047326,1.00183173667426,969,0,1
