"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.653833084950238,0.0382012795340736,0.558071459488741,0.638011408070021,0.659691917759851,0.676639492536572,0.712781550324235,1.29921911618737,11,0,1
"mean.sF",0.7302649613289,0.0701439559838586,0.640203391016632,0.682545754436136,0.707830199340038,0.765122784145297,0.909021395018396,1.0217685079178,78,0,1
"mean.fV",0.394781474999474,0.239967022032781,0.138233258330621,0.200207188082055,0.294055491733464,0.551474931435805,0.859325790675387,1.78612497315543,5,0,1
"mean.fF",0.417313074930537,0.276545538766303,0.120380343824885,0.179630848235042,0.288735196956399,0.664013500297325,0.904093216726139,1.76884561681249,5,0,1
"mean.dV",0.777949356370634,0.207488473377634,0.213181622141281,0.77340965792467,0.881067939229138,0.901494251729526,0.922476901450243,1.80857816829779,5,0,1
"mean.dF",0.523334601487063,0.254589572369538,0.0187655965151135,0.335928766517625,0.532809597037309,0.77466434760604,0.849559813176245,1.32805121860863,8,0,1
"deviance",2299.15003947909,89.9673988516713,2039.5783761672,2265.30522903819,2321.27262716948,2359.9280276171,2411.35246964205,1.02904988903799,547,0,1
