"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.691704465798952,0.0228276065394222,0.646682649692671,0.676521921576281,0.692298398317122,0.706964179186378,0.735946709694368,1.00878302340853,869,0,1
"mean.sF",0.693504894459303,0.0199618955370441,0.656015986875252,0.679978330920259,0.693691950084549,0.707032462126515,0.733680418064226,1.00016796288785,1600,0,1
"mean.fV",0.448206745383523,0.0730672397646615,0.326542100088971,0.395048615335889,0.439240323184192,0.493634960687905,0.617773701239016,1.17941055669692,13,0,1
"mean.fF",0.660435198624487,0.0676521759088405,0.495292129998062,0.622120936089493,0.665908321267525,0.706511357387817,0.772176036290857,1.18394729589884,13,0,1
"mean.dV",0.647496854089832,0.0655540785237405,0.494483473729003,0.611633060565909,0.657890485586963,0.69357138656568,0.749752849818904,1.19305859909192,13,0,1
"mean.dF",0.569889278301165,0.0604848586820167,0.428408345363758,0.534605527200195,0.575803507656722,0.610472588905476,0.671082286088735,1.19691197499582,12,0,1
"deviance",3498.23017319531,42.0034074222658,3413.5773077805,3470.63067670078,3498.7205640187,3526.35955311789,3581.55117922691,1.00904958461805,249,0,1
