"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.726601364954229,0.0322153290286259,0.667137221964311,0.706341456379582,0.725255086089405,0.746012781790444,0.794997180878922,1.06554399324121,132,0,1
"mean.sF",0.693867386387054,0.0262079392820211,0.635872641890832,0.680085106791451,0.696084087157824,0.710159632178129,0.742246322241619,1.14619096405968,30,0,1
"mean.fV",0.601948745808285,0.190239380479776,0.236500294283062,0.455161598375766,0.596511798731683,0.772564013937425,0.890801301196476,2.60882601232727,3,0,1
"mean.fF",0.631713540164079,0.178680339996005,0.260369414631329,0.506752620019071,0.636950824018505,0.782083909609422,0.892011516526068,2.60326601979692,3,0,1
"mean.dV",0.628506149547227,0.230511670793464,0.0648770121538595,0.536262381268898,0.724550390842469,0.798918436283183,0.859428433264378,2.32904941258849,3,0,1
"mean.dF",0.687525818781489,0.130520704863869,0.293520486053156,0.639930270489688,0.724740489012872,0.780372038098426,0.818843900019222,2.05473950630501,4,0,1
"deviance",3020.75658241639,73.0769423580617,2837.6913771529,2986.13262696874,3038.54064838306,3071.42421904389,3119.46036231795,1.02366147272592,72,0,1
