"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.703326176965528,0.0200019827607815,0.663958743617096,0.690428522952728,0.703050057102616,0.716161155199079,0.744369290294732,1.01382706653908,528,0,1
"mean.sF",0.704827418579016,0.0184570023472658,0.668943834591958,0.692899815428363,0.704278629962459,0.716815540982646,0.742334819160311,1.02953651462564,89,0,1
"mean.fV",0.519119076586418,0.165361370734995,0.264408071815334,0.362961584285431,0.522344356396585,0.675467724264601,0.770074111184219,1.37810140415147,9,0,1
"mean.fF",0.504918072779984,0.157601715654785,0.260794526832003,0.356611126809451,0.502243579609825,0.65574338066094,0.748678120730339,1.37698303499015,9,0,1
"mean.dV",0.441458397710552,0.202224201458394,0.030805426117346,0.276073059346686,0.501771730165253,0.619401647276728,0.6778207528336,1.3786462065774,9,0,1
"mean.dF",0.426740547345404,0.196842815344912,0.0195555553565863,0.270983778798051,0.485007162007262,0.602439227128301,0.660307956520373,1.34135220010679,10,0,1
"deviance",4094.5402345405,142.711935747483,3769.85234043275,4004.36973022155,4130.17875479383,4205.74496303937,4285.39051048606,1.10666508225182,24,0,1
