"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.726098119866922,0.0200448359133215,0.688040295491798,0.71224083502983,0.726157461239814,0.739853374907874,0.766376399186585,1.00703670888416,672,0,1
"mean.sF",0.685268272995782,0.0184505381532414,0.648637562122672,0.67305801795165,0.685459403803114,0.697545748440442,0.721439076889879,1.00803167560187,469,0,1
"mean.fV",0.538709547875234,0.109280622836852,0.332736675713654,0.454348711843705,0.548176878569317,0.618957475067542,0.730094063449253,1.09475257100417,27,0,1
"mean.fF",0.572528555177626,0.104944194536609,0.358222496406535,0.493641948586861,0.591667310565288,0.650708973988759,0.743320480529689,1.10106051210422,25,0,1
"mean.dV",0.425274283756097,0.142070588383005,0.101377765315903,0.342167282542225,0.44147826223086,0.538828593869526,0.632886357227781,1.09615187056864,27,0,1
"mean.dF",0.492617416013875,0.11555995608373,0.212584705238659,0.428334521826139,0.52559874034091,0.578719354658537,0.642311641660656,1.11158264942837,25,0,1
"deviance",4187.95298964121,87.5106604469697,3956.83062504629,4152.99204860537,4204.90332601728,4245.79742267265,4310.83222724677,1.04119661067417,121,0,1
