vitrate,param,median,X2.5.,X97.5.,median,X2.5.,X97.5.
sV,mu.sV[1],1.92,1.04,4.25,2.16,1.05,4.35
sV,sigma.sV2[1],1.4,0.05,8.93,2.46,0.09,20.76
sV,beta.sV[1],0.65,-0.79,9.51,1.8,0.03,7.46
sF,mu.sF[1],3.26,1.52,6.74,1.94,0.93,3.54
sF,sigma.sF2[1],3.04,0.07,25.97,0.81,0,7.03
sF,beta.sF[1],5.24,0.55,9.77,2.11,0.69,4.07
fV,mu.fV[1],-0.61,-1.15,-0.1,-0.85,-1.58,-0.16
fV,sigma.fV2[1],0.13,0,1.09,0.18,0,1.02
fV,beta.fV[1],-1.06,-2.09,-0.14,1.23,0.2,2.28
fV,beta1.fV[1],0.07,-0.02,0.16,-0.01,-0.09,0.06
fF,mu.fF[1],0.7,0.17,1.31,0.51,-0.21,1.3
fF,sigma.fF2[1],0.22,0,1.28,0.22,0,1.07
fF,beta.fF[1],0.49,-0.71,1.8,1.63,0.48,2.86
fF,beta1.fF[1],-0.06,-0.17,0.06,0,-0.09,0.08
fUV,mu.fUV[1],-2.83,-5.85,-0.41,-1.52,-5.68,1.67
fUV,sigma.fUV2[1],2.76,0,69.74,35.01,0.24,96.11
fUV,beta.fUV[1],-4.03,-9.69,4.48,0.58,-8.94,8.99
fUV,beta1.fUV[1],-5.12,-9.75,-0.04,-1.39,-5.56,0.11
fUF,mu.fUF[1],0.18,-2.04,2.79,-0.01,-2.48,2.47
fUF,sigma.fUF2[1],13.45,0.21,86.97,0.58,0,7.92
fUF,beta.fUF[1],4.72,-3.41,9.73,-0.62,-4.53,3.18
fUF,beta1.fUF[1],-0.84,-2.08,0.05,0.04,-0.2,0.28
dV,mu.dV[1],-0.9,-1.54,-0.22,-1.27,-2.11,-0.55
dV,sigma.dV2[1],0.25,0,1.39,0.09,0,1.02
dV,beta.dV[1],-0.91,-2.19,0.33,-1.11,-2.47,0.13
dV,beta1.dV[1],0.06,-0.05,0.16,0.03,-0.08,0.12
dF,mu.dF[1],-1.75,-2.58,-1.03,-2.4,-3.9,-1.34
dF,sigma.dF2[1],0.21,0,2.16,0.06,0,0.69
dF,beta.dF[1],-0.88,-2.95,0.79,-0.26,-1.75,1.43
dF,beta1.dF[1],0.05,-0.12,0.22,0.04,-0.04,0.12
dUV,mu.dUV[1],0.84,-0.7,2.74,1.02,-0.39,2.75
dUV,sigma.dUV2[1],2.09,0.09,17.1,1.71,0.01,18.41
dUV,beta.dUV[1],-2.49,-8.56,2.7,-0.93,-3.91,2.47
dUV,beta1.dUV[1],0.26,-0.03,0.75,0.09,-0.17,0.34
dUF,mu.dUF[1],0.77,-0.76,2.32,0.05,-3.35,1.92
dUF,sigma.dUF2[1],2,0.02,40.81,0.46,0,6.24
dUF,beta.dUF[1],1.05,-9.17,4.54,-0.91,-4.82,2.88
dUF,beta1.dUF[1],0.02,-9.46,0.43,0.07,-0.14,0.32
