"","pfr_d_dat","pfr_d_mod","pfr_dv_dat","pfr_dv_mod","pfr_v_dat","pfr_v_mod","pfr_fl_dat","pfr_fl_mod","pfr_fr_dat","pfr_fr_mod"
"1985",NA,1.44999805561897e-57,NA,0.999774171757334,0,0.0532578632504085,NA,0.198640735731054,0.888888888888889,0.78366037230834
"1986",0,7.13462262975082e-21,NA,0.999999483946439,0.142857142857143,0.104755612666943,0.333333333333333,0.250449761591356,0.333333333333333,0.246854562291758
"1987",0,7.09429872370132e-15,NA,0.999999993125767,0.166666666666667,0.151715676484088,0.5,0.314788336016899,0.333333333333333,0.259039560255964
"1988",0,3.0423930685224e-08,1,0.999999999475203,0.2,0.189408716058856,0.571428571428571,0.353341052771154,0.25,0.217103154958213
"1989",NA,6.23318130871695e-13,NA,0.999812857889279,0,0.0661475249433783,0.166666666666667,0.165722820443668,0,0.0674180335999297
"1990",1,0.999999993621406,NA,0.999999999983359,0.666666666666667,0.256805161891988,0.444444444444444,0.399429401479313,NA,0.100202972724668
"1991",0,5.8577322214654e-10,NA,0.999904243324466,NA,0.070973110172859,0,0.171125606563817,0,0.0574690748872119
"1992",NA,2.37655796877799e-21,NA,0.999478283184327,0,0.0583263686983203,0,0.160464731401811,NA,0.116610256482335
"1993",NA,4.66841633875221e-19,NA,0.999889866365501,NA,0.0673504277243821,0,0.17642361837618,NA,0.117804757410135
"1994",NA,8.10604970148387e-05,NA,0.999999943811611,1,0.134049124268619,0,0.268640252286475,NA,0.097283166415119
"1995",NA,3.77757118676679e-19,NA,0.999214476462866,0,0.0568611900601579,0,0.154510590265594,0,0.0931670585386399
"1996",NA,2.02500660921488e-20,NA,0.999679733239925,NA,0.0610861530118281,0,0.165188099961704,NA,0.115074069928138
"1997",0,3.32336842755668e-22,NA,0.999183145280524,0,0.0558938329510841,0,0.15622030924538,NA,0.118030862388557
"1998",NA,5.2391910502587e-18,NA,0.999981779843725,0,0.0788354922877872,0.333333333333333,0.197747801350676,NA,0.134863497611256
"1999",NA,0.973271326367569,NA,0.99999999780019,0.333333333333333,0.176277572723195,0.5,0.316751988933688,0,0.0927006855188591
"2000",NA,7.04023078617775e-16,NA,0.999267860414139,NA,0.0580567108586652,0,0.152997265351973,0,0.0721199891487415
"2001",NA,6.35520471890574e-09,NA,0.999999889411721,0.166666666666667,0.124852030629057,0.5,0.262180255243758,NA,0.123632538810118
"2002",NA,6.94001323999441e-08,NA,0.999998361230918,0,0.100718243379943,0.5,0.221182744394118,0,0.081593263088374
"2003",NA,1.54855347893802e-43,NA,0.998908210784079,0,0.0494867515055878,0,0.168393433336668,1,0.458075721666465
"2004",0,1.84728290740336e-22,NA,0.998732894425959,0,0.0537449033959156,0,0.151753958378476,NA,0.114139317794589
"2005",0,6.31269075956677e-17,NA,0.999699801929014,NA,0.0623965463027768,0,0.163365267865672,0,0.0879087896730889
"2006",NA,3.32336842755921e-22,NA,0.999183145280525,0,0.0558938329510845,0,0.15622030924538,NA,0.118030862388555
"2007",NA,4.72826326437011e-17,NA,0.99998354200294,0,0.0798495561435378,0.25,0.198253061701393,NA,0.126863903513353
"2008",NA,4.33064801123107e-14,NA,0.999982681666686,0,0.0805490529903117,0.333333333333333,0.195118765643752,0,0.0999804242451739
"2009",NA,5.38935219151861e-19,NA,0.998810808296027,0,0.0548942215779375,0,0.15005985929516,0,0.087362297522577
"2010",NA,9.8766325992955e-24,NA,0.998178908302178,0,0.0517783154555141,0,0.14885340828081,NA,0.120593752085741
"2011",NA,1.84728290740478e-22,NA,0.998732894425959,0,0.053744903395916,0,0.151753958378477,NA,0.114139317794587
"2012",NA,1.84728290740478e-22,NA,0.998732894425959,0,0.053744903395916,0,0.151753958378477,NA,0.114139317794587
"2013",NA,4.66841633875221e-19,NA,0.999889866365501,NA,0.0673504277243821,0,0.17642361837618,NA,0.117804757410135
"2014",NA,8.2394130077037e-21,NA,0.999802051020458,0,0.0635531906185634,NA,0.170933845246422,NA,0.125728843662498
