"","Stage_curd","Stage_curdv","Stage_curfl","Stage_curfr","Stage_curv"
"1985",0.026096615146613,0.0125978129419618,0.871896798877659,0.859139204280455,0.659949135038808
"1986",0.342229754498508,0.134719919517574,0.884996138253336,0.659522253888086,0.557712172651768
"1987",0.275471634157705,0.389720217385229,0.875940536299542,0.810148153087926,0.704306034876361
"1988",0.288783635075185,0.240857294601002,0.800672081689016,0.729697168959346,0.563500678358894
"1989",0.0610748078986668,0.0539729293859227,0.906948346470179,0.863190339316479,0.730629014432068
"1990",0.217066250906306,0.125859060735774,0.947364208808788,0.782662838462726,0.728311536700407
"1991",0.0630136125682935,0.00980000131884277,0.517150988692695,0.649831708330187,0.285081503345572
"1992",0.0157588681285044,0.00393685892685369,0.720984707684242,0.817369632333144,0.481948498880057
"1993",0.0144583112877324,0.00524229166166201,0.877246022323622,0.870302557216381,0.657088669000869
"1994",0.0123138524436565,0.00604633802433686,0.906410229539397,0.895600274831755,0.721995764505357
"1995",0.0830636387197356,0.0466227265694383,0.916527891319094,0.826354132794583,0.699640239269313
"1996",0.0248702530152274,0.0151114763365404,0.817978396674621,0.861662133800625,0.627925451158154
"1997",0.0446555666842627,0.0249974864834652,0.920316739398911,0.857798976268505,0.721626877495394
"1998",0.029080147246301,0.0335280873944711,0.955462091171097,0.915731910628802,0.836300144888093
"1999",0.0133813748312685,0.00570729651279329,0.905669502710245,0.887085216250493,0.708199046933138
"2000",0.0506153654458517,0.0384511127434259,0.888352861130874,0.85811419949758,0.699864666797012
"2001",0.0187937600313709,0.0143959028696435,0.849637508415572,0.88807145296571,0.684122708065225
"2002",0.0574444475534826,0.0121844600139065,0.864239332447707,0.763402886787175,0.553059697582995
"2003",0.0118386688260295,0.00414408369523024,0.820733710903034,0.865250229189489,0.601006126711864
"2004",0.0510934946923666,0.0291442171837262,0.902108573106732,0.846500407330787,0.693451364042954
"2005",0.0272269235075369,0.00899591854532666,0.904818499013054,0.846842294406099,0.668491877163004
"2006",0.0273843971672695,0.00984097544849101,0.775267438544936,0.820641577138923,0.540665145554997
"2007",0.045359986139761,0.0272986436276713,0.929687902645448,0.864308644437483,0.741666303755011
"2008",0.009940446436293,0.00372375165248155,0.77787114601889,0.868508655146756,0.575549148596025
"2009",0.0787621354650578,0.0383429252847728,0.918699661238101,0.821381212356,0.692736198488862
"2010",0.0118593273855424,0.00391956655844129,0.829105515151573,0.863909288602989,0.603556627706476
"2011",0.0205142853947103,0.00956084649484448,0.789510246688934,0.851466311563977,0.584915793516476
"2012",0.0343985074446909,0.0153967744841155,0.916871038580193,0.856458284806455,0.705263494358737
"2013",0.0135998900764759,0.00361987862652523,0.84824661946874,0.851177484729106,0.599247059460934
"2014",0.0168684205186285,0.0111766040385077,0.922724959457379,0.901302270567705,0.75953933639511
