"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1.phiB[1]",4.29263711900071,3.00308828360819,-0.154897747864023,1.61669635942368,4.02325314662302,6.92152078286226,9.60821663677926,1.15104581884756,18,1,0.958666666666667
"beta1.phiB[2]",0.263358195419553,1.47483379573215,-0.333406548771324,-0.131113534971543,-0.0580740868105181,0.0147941900739174,6.28279573984068,1.04790915231755,235,1,0.29362962962963
"beta1.pA[1]",-0.0679801325938304,0.0583759223430692,-0.180592153523459,-0.106267924494614,-0.0684977002306429,-0.0305310879310147,0.0499066133826814,1.00017646074881,13500,1,0.883555555555556
"beta1.pA[2]",-0.0398184811569437,0.0298538368655097,-0.0994285888327294,-0.059283722926289,-0.0394384478722434,-0.0197755710340186,0.0171253953063739,1.00026058024234,5649,1,0.912518518518519
"beta1.pB[1]",3.43754840529148,2.62840168801152,-0.238748065786617,1.13707257186458,3.23787874465543,5.33995062248648,9.10658411415572,1.30530672109313,10,1,0.93762962962963
"beta1.pB[2]",4.96889028354107,2.90765702101889,0.0430753845744836,2.51815306873864,4.99680991393189,7.42997912688255,9.75354428088955,1.00020527449725,8099,0,0.978296296296296
"beta1.psiAB[1]",0.0307445728994609,0.0386976342432725,-0.046135226749038,0.00529283781071168,0.0308736974048793,0.0563142385279753,0.106837856418024,1.00027551622257,7568,1,0.79037037037037
"beta1.psiAB[2]",-0.0297762654337753,0.0281914064427876,-0.0855221124024482,-0.0476940979544719,-0.0295490987724108,-0.0120159941958019,0.0263032703556806,1.00013913092088,12999,1,0.864222222222222
"beta1.psiBA[1]",0.0655769362119051,0.0520906438832031,-0.0361367155550585,0.0300725552142336,0.0648112567831262,0.100231008740817,0.168311158199798,1.00032453209947,5033,1,0.897925925925926
"beta1.psiBA[2]",0.0213814397803262,0.0377703236623236,-0.0474371303292525,-0.00335177579382982,0.0191520902571543,0.0438731744211266,0.102236429836466,1.0015677380057,1791,1,0.716148148148148
"mu.phiA[1]",1.62057745159087,0.431488408737793,0.767331908093665,1.33936840318975,1.61954298198497,1.88827237401453,2.53883451093685,1.00658304093808,472,0,1
"mu.phiA[2]",1.7860545803191,0.736676065837216,0.291336011602838,1.34388443153015,1.76285680332436,2.18436313742743,3.37176366491174,1.04364990572802,92,0,0.980296296296296
"mu.phiB[1]",3.13741009136788,1.03664895910019,1.30560351153188,2.4672414882622,2.98749949577284,3.69443998278735,5.53008344205786,1.05824157092382,43,0,1
"mu.phiB[2]",2.15192972361652,0.75308570907866,0.953451467499844,1.65328610730105,2.05619714086719,2.53897839110453,3.88316350519517,1.00105876011521,5650,0,0.999481481481482
"mu.pA[1]",0.512221323794318,0.319412349036615,-0.10573870706925,0.305383764976743,0.510004869055036,0.716717951943752,1.15306433869331,1.00180805168223,1129,1,0.948740740740741
"mu.pA[2]",0.86999142559852,0.340047941393906,0.273356172560581,0.649624575728698,0.849030007031574,1.0628784052319,1.5582356510919,1.00445631877921,11408,0,0.998666666666667
"mu.pB[1]",3.55503470889322,1.28881942517485,1.76043338767963,2.67232123760813,3.29425828797847,4.15487170542184,6.85714228854943,1.00153368348967,2036,0,1
"mu.pB[2]",3.55510489022582,1.61156373762065,0.953291857076093,2.44758718524478,3.34011704336698,4.43423012585814,7.40589407361723,0.999987553844188,13500,0,0.99762962962963
"mu.psiAB[1]",-1.36093666263265,0.215708729426824,-1.79760812785678,-1.5003532532547,-1.35458794971723,-1.2165978119507,-0.948083444186551,0.9999627122394,13500,0,1
"mu.psiAB[2]",-1.35174328162548,0.335193907052055,-2.01792593754288,-1.57063263378761,-1.35117684179051,-1.13396445170057,-0.690261573231279,1.0006992981233,13500,0,0.999925925925926
"mu.psiBA[1]",-0.409668994377518,0.257879437639828,-0.94045606367261,-0.572849187937717,-0.404142384051409,-0.237983688618601,0.0801747807392677,1.00023195280067,7862,1,0.951111111111111
"mu.psiBA[2]",-0.332361235639132,0.371228082343402,-1.08255826696626,-0.572668036894266,-0.327293411828793,-0.0848878896412387,0.391271820947913,1.00023733999444,8241,1,0.818666666666667
"sigma.phiA2[1]",1.36421358349899,0.915903738265929,0.33393360674045,0.783536967947726,1.15236608000583,1.69027468859706,3.56829566928968,1.00368184271802,881,0,1
"sigma.phiA2[2]",3.62392238290686,4.22183760081957,0.295810487064916,1.38351295353222,2.42735833425235,4.32426628208325,14.7917847044699,1.04721525200875,293,0,1
"sigma.phiB2[1]",7.62896303799972,10.8822349142884,0.134921434517433,1.88275194174754,4.05797780600322,8.79523246416466,38.4666114410479,1.0106823752376,1758,0,1
"sigma.phiB2[2]",1.55653039248939,3.19725219413991,0.00116257242316308,0.167309871276442,0.643543805737555,1.67718198794833,8.49707189431347,1.03316357953164,1824,0,1
"sigma.pA2[1]",0.771458881309344,0.50546559267429,0.116082873604485,0.423333553379271,0.671448017764504,0.996808030839276,2.0500300121073,1.00049397010434,5312,0,1
"sigma.pA2[2]",0.0600797149439805,0.0876980156309998,7.41831598218807e-05,0.00659384967320462,0.0278990923638338,0.0779185556077966,0.297481151397369,1.00129954186908,1742,0,1
"sigma.psiAB2[1]",0.0746717809821234,0.11301374261844,6.76419825295497e-05,0.00758607423223416,0.0327938297043878,0.096429826095256,0.3756490366696,1.00812813268801,1625,0,1
"sigma.psiAB2[2]",0.146231508325471,0.175556237457642,0.000259723837552215,0.0277519014733081,0.0925496562018662,0.20184832378805,0.597790596914754,1.00278145364213,4605,0,1
"sigma.psiBA2[1]",0.203413853316331,0.226420335874213,0.000625120037474384,0.0432528997947873,0.134165290367979,0.283849491692579,0.813342074833234,1.00148986682446,13500,0,1
"sigma.psiBA2[2]",0.267594477123668,0.251284790595764,0.00315981962776732,0.0916321648556899,0.20331852013881,0.366734765128266,0.916845040124948,1.00081526248005,2205,0,1
"deviance",2571.65936273075,35.1971175732981,2504.06514121527,2547.87845686009,2571.08549377187,2594.62901567884,2642.70551514211,1.00060128858224,4403,0,1
