"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV[1]",0.891399865739296,0.120202065382464,0.598128108469646,0.821638102509165,0.937373798475003,0.993523299263232,0.99971467837414,1.86747634830059,6,0,1
"mean.sV[2]",0.923152675443703,0.0682493471232869,0.743310342257933,0.888945130938387,0.940454478952317,0.974742193816232,0.998503017368781,1.13716115031507,31,0,1
"mean.sF[1]",0.971373694738097,0.0352601067149632,0.86611962481422,0.96062520634759,0.985149359737742,0.99475709748741,0.999522713651921,1.39752667265956,11,0,1
"mean.sF[2]",0.927967500447793,0.0566144084278187,0.802542853881315,0.887916934210426,0.938162248384999,0.978054560501099,0.998668613446228,1.00447034985267,966,0,1
"mean.sU[1]",0.895860977733396,0.11262103363965,0.64424473147473,0.81383985646451,0.939795736002661,0.997325465631669,0.999961468303657,1.85458675597372,5,0,1
"mean.sU[2]",0.88863636965971,0.105822119116128,0.606190577155628,0.833295977799718,0.913683953801113,0.973424111467645,0.997347697044444,1.74056876959176,6,0,1
"mean.fV[1]",0.354683761023856,0.0608864904924568,0.24465343018711,0.315973617128536,0.352705752372689,0.391297580551802,0.481608602452021,1.01017212652261,299,0,1
"mean.fV[2]",0.300742015623446,0.07433941179436,0.163429548624339,0.248903053684664,0.29657266452848,0.346874303379759,0.456075814769477,1.00350536690106,552,0,1
"mean.fF[1]",0.667294938999594,0.0648903833335367,0.536332274558119,0.625178283593223,0.667487817305938,0.710896271116281,0.790421406201666,1.01063506738199,184,0,1
"mean.fF[2]",0.617229768509093,0.0868025264746218,0.442111190607038,0.559326965693355,0.616555730700281,0.677564864806712,0.78521474927716,1.01059172199724,318,0,1
"mean.fU[1]",0.212491964799849,0.119247193638184,0.0490054767283548,0.133968673774092,0.191732065748831,0.263356254447134,0.530002939998057,1.05218911429811,351,0,1
"mean.fU[2]",0.169852194871597,0.111726615563425,0.0228269469488445,0.0835122027171275,0.15025476380093,0.233842144417597,0.425728792421234,1.01434628690125,149,0,1
"mean.dV[1]",0.328083877776455,0.0953649867099507,0.157791600909138,0.255732394948463,0.331246879769134,0.39354768478156,0.509316450144248,1.59568891932461,7,0,1
"mean.dV[2]",0.262970128839636,0.0731804713920831,0.123401376627291,0.214565562616278,0.260914080805713,0.310860517460915,0.41342100582456,1.02289819277741,118,0,1
"mean.dF[1]",0.170208615537023,0.0609384750421914,0.0663226876348366,0.128119918257781,0.165131394708911,0.207914056790045,0.30188269240742,1.23731210714803,13,0,1
"mean.dF[2]",0.152550874115122,0.0642144606930326,0.0536919176743552,0.104037387731839,0.142809831177286,0.195975265835897,0.294626137207141,1.00779229998618,371,0,1
"mean.dU[1]",0.714141604225205,0.230948549489843,0.253363211098215,0.526920314767028,0.789563042402419,0.923778134032575,0.968578447191147,1.76552181471149,6,0,1
"mean.dU[2]",0.770559111446621,0.129416487797519,0.503207505264783,0.681222046911717,0.779755513942168,0.880928830114888,0.959209987091132,1.07391291868619,48,0,1
"beta.sV[1]",3.94505419598781,3.67130615754413,-2.44889042587269,0.694772521607959,4.02807941009863,7.23884541805597,9.75088610380017,1.07318808348838,33,1,0.84607696151924
"beta.sV[2]",4.64928821600863,3.35612444401955,-2.44087125549957,2.26387820795626,4.83627255656588,7.47931675061958,9.72022054201275,1.01419553625874,276,1,0.914042978510745
"beta.sF[1]",3.7193495009325,4.03835193293205,-4.70469740418679,0.727904846952136,4.09602114492686,7.09802649742584,9.67907333716915,1.00829807123467,263,1,0.805097451274363
"beta.sF[2]",4.15028125560341,3.74862100092655,-3.45390345613142,1.45646448264096,4.34788908073395,7.3422566111927,9.74666360193674,1.00014954945563,2001,1,0.849075462268866
"beta.sU[1]",-1.15262732189284,2.59686408422487,-6.55276234710834,-2.57977349833748,-1.37478434987434,0.48178771383812,4.44997908943098,1.40424317009439,9,1,0.682658670664668
"beta.sU[2]",0.109366442743405,2.96368303659017,-6.15941983134258,-1.47311597411463,0.324684774417328,1.87185776265716,6.16882919835964,1.19596011070615,17,1,0.553223388305847
"beta.fV[1]",-1.08882790852724,0.505107270651984,-2.14878631194249,-1.39173795633225,-1.05900855476879,-0.764711778943091,-0.179209751976594,1.0110150230855,506,0,0.992003998000999
