Group,Block,Plant,UniqueID,Year,YearFound,NoVegStems,NoArrStems,NoFlStems,NoFrStems,TotNoStems,Height,LeafWhol,Stage,Stage2,Stage3,Emerg
A,0,1,A-00-001,1984,1984,1,0,0,0,1,112,148,Veg,VegSm,VegSm,1
A,0,1,A-00-001,1985,1984,0,0,2,0,2,151,102.5,Flower,FlowLg,ArFlLg,1
A,0,1,A-00-001,1986,1984,0,1,0,0,1,0,0,Arr,ArrSm,ArFlSm,1
A,0,1,A-00-001,1987,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,1,A-00-001,1988,1984,0,0,2,0,2,144,112,Flower,FlowLg,ArFlLg,1
A,0,1,A-00-001,1989,1984,0,2,0,0,2,135,140,Arr,ArrLg,ArFlLg,1
A,0,1,A-00-001,1990,1984,0,0,0,0,0,0,0,D,D,D,0
A,0,1,A-00-001,1991,1984,0,0,0,2,2,175,117,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,1992,1984,0,0,0,2,2,115,122,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,1993,1984,2,0,0,0,2,38,0,Veg,VegLg,VegLg,1
A,0,1,A-00-001,1994,1984,2,0,0,0,2,0,0,Veg,VegLg,VegLg,1
A,0,1,A-00-001,1995,1984,0,0,2,0,2,169,138,Flower,FlowLg,ArFlLg,1
A,0,1,A-00-001,1996,1984,0,0,0,2,2,0,0,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,1997,1984,0,0,2,0,2,0,0,Flower,FlowLg,ArFlLg,1
A,0,1,A-00-001,1998,1984,0,0,0,2,2,0,0,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,1999,1984,0,0,0,2,2,0,0,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,2000,1984,0,0,2,0,2,0,0,Flower,FlowLg,ArFlLg,1
A,0,1,A-00-001,2001,1984,0,0,0,2,2,0,0,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,2002,1984,0,0,0,2,2,0,0,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,2003,1984,0,0,0,2,2,0,0,Fruit,FruitLg,FruitLg,1
A,0,1,A-00-001,2004,1984,0,0,3,0,3,0,0,Flower,FlowLg,ArFlLg,1
A,0,1,A-00-001,2005,1984,3,0,0,0,3,0,0,Veg,VegLg,VegLg,1
A,0,1,A-00-001,2006,1984,2,1,0,0,3,0,0,Arr,ArrSm,ArFlSm,1
A,0,1,A-00-001,2007,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,1,A-00-001,2008,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,1,A-00-001,2009,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,1,A-00-001,2010,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,1,A-00-001,2011,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,1,A-00-001,2012,1984,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,1,A-00-001,2013,1984,0,1,0,0,1,0,0,Arr,ArrSm,ArFlSm,1
A,0,1,A-00-001,2014,1984,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,1,A-00-001,2015,1984,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,1988,1988,0,0,1,0,1,0,0,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,1989,1988,0,1,0,0,1,120,110,Arr,ArrSm,ArFlSm,1
A,0,2,A-00-002,1990,1988,3,0,0,0,3,116,90,Veg,VegLg,VegLg,1
A,0,2,A-00-002,1991,1988,0,1,0,2,3,107.5,57.5,Fruit,FruitLg,FruitLg,1
A,0,2,A-00-002,1992,1988,3,2,0,0,5,54,0,Arr,ArrLg,ArFlLg,1
A,0,2,A-00-002,1993,1988,0,0,1,0,1,161,141,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,1994,1988,0,0,0,3,3,123.5,73.5,Fruit,FruitLg,FruitLg,1
A,0,2,A-00-002,1995,1988,0,0,0,3,3,196,129.5,Fruit,FruitLg,FruitLg,1
A,0,2,A-00-002,1996,1988,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,1997,1988,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,1998,1988,0,1,1,0,2,0,0,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,1999,1988,1,0,0,2,3,0,0,Fruit,FruitLg,FruitLg,1
A,0,2,A-00-002,2000,1988,0,0,0,0,0,0,0,D,D,D,0
A,0,2,A-00-002,2001,1988,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2002,1988,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2003,1988,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2004,1988,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2005,1988,0,0,1,0,1,0,0,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,2006,1988,0,0,1,0,1,0,0,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,2007,1988,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2008,1988,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2009,1988,0,0,1,0,1,0,0,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,2010,1988,0,0,0,0,0,0,0,D,D,D,0
A,0,2,A-00-002,2011,1988,0,0,0,0,0,0,0,D,D,D,0
A,0,2,A-00-002,2012,1988,0,0,0,0,0,0,0,D,D,D,0
A,0,2,A-00-002,2013,1988,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,2,A-00-002,2014,1988,0,0,1,0,1,0,0,Flower,FlowSm,ArFlSm,1
A,0,2,A-00-002,2015,1988,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,3,A-00-003,1992,1992,1,0,0,0,1,128,155,Veg,VegSm,VegSm,1
A,0,3,A-00-003,1993,1992,0,1,0,0,1,144,135,Arr,ArrSm,ArFlSm,1
A,0,3,A-00-003,1994,1992,0,0,1,0,1,0,0,Flower,FlowSm,ArFlSm,1
A,0,3,A-00-003,1995,1992,0,0,1,0,1,141,105,Flower,FlowSm,ArFlSm,1
A,0,3,A-00-003,1996,1992,0,0,0,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,3,A-00-003,1997,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,1998,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,1999,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2000,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2001,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2002,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2003,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2004,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2005,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2006,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2009,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2010,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2011,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,3,A-00-003,2012,1992,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,1997,1997,1,0,0,0,1,52,0,Veg,VegSm,VegSm,1
A,0,4,A-00-004,1998,1997,0,1,0,0,1,0,0,Arr,ArrSm,ArFlSm,1
A,0,4,A-00-004,1999,1997,0,1,0,0,1,0,0,Arr,ArrSm,ArFlSm,1
A,0,4,A-00-004,2000,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2001,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2002,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2003,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2004,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2005,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2006,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2007,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2008,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2009,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2010,1997,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,0,4,A-00-004,2011,1997,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,4,A-00-004,2012,1997,0,0,1,1,1,0,0,Fruit,FruitSm,FruitSm,1
A,0,4,A-00-004,2013,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2014,1997,0,0,0,0,0,0,0,D,D,D,0
A,0,4,A-00-004,2015,1997,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1984,1984,1,0,0,0,1,30,54,Veg,VegSm,VegSm,1
A,3,1,A-03-001,1985,1984,1,0,0,0,1,75,30,Veg,VegSm,VegSm,1
A,3,1,A-03-001,1986,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1987,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,3,1,A-03-001,1988,1984,1,0,0,0,1,0,0,Veg,VegSm,VegSm,1
A,3,1,A-03-001,1989,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1990,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1991,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1992,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1993,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1994,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1995,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1996,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1997,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1998,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,1999,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,2000,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,2001,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,2002,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,2003,1984,0,0,0,0,0,0,0,D,D,D,0
A,3,1,A-03-001,2004,1984,0,0,0,0,0,0,0,D,D,D,0
