stage,lag_mos,start.mos,mod1,mod1.pval,mod1.rsq,mod1.dev.expl,mod1.aic,mod2,mod2.pval,mod2.rsq,mod2.dev.expl,mod1.aic
Stage_curd,24,5,tmin,0.04,0.11,0.14,74.93,year+tmin,0.74,0.34,0.36,65.68
Stage_curd,24,5,tmax,0.05,0.09,0.11,75.44,year+tmax,0.46,0.34,0.36,65.68
Stage_curd,24,5,prcp,0.16,0.17,0.31,76.57,year+prcp,0.37,0.41,0.53,66.87
Stage_curd,24,5,snow,1.00,0.00,0.00,77.67,year+snow,0.55,0.34,0.36,65.68
Stage_curd,36,5,tmin,0.04,0.11,0.14,74.74,year+tmin,0.62,0.34,0.36,65.68
Stage_curd,36,5,tmax,0.11,0.10,0.15,75.92,year+tmax,0.88,0.34,0.36,65.68
Stage_curd,36,5,prcp,0.36,0.00,0.00,77.67,year+prcp,0.49,0.34,0.36,65.68
Stage_curd,36,5,snow,1.00,0.00,0.00,77.67,year+snow,0.32,0.34,0.36,65.68
Stage_curdsv,24,5,tmin,0.00,0.25,0.28,92.03,year+tmin,1.00,0.54,0.55,77.22
Stage_curdsv,24,5,tmax,0.03,0.12,0.15,96.83,year+tmax,0.45,0.54,0.55,77.22
Stage_curdsv,24,5,prcp,0.07,0.08,0.10,98.24,year+prcp,0.64,0.54,0.55,77.22
Stage_curdsv,24,5,snow,1.00,0.00,0.00,100.03,year+snow,0.21,0.55,0.57,76.85
Stage_curdsv,36,5,tmin,0.00,0.26,0.30,92.15,year+tmin,0.60,0.54,0.55,77.22
Stage_curdsv,36,5,tmax,0.04,0.17,0.22,96.15,year+tmax,1.00,0.54,0.55,77.22
Stage_curdsv,36,5,prcp,0.09,0.11,0.16,97.86,year+prcp,0.22,0.54,0.56,77.00
Stage_curdsv,36,5,snow,1.00,0.00,0.00,100.03,year+snow,0.13,0.56,0.58,76.25
Stage_curfl,24,5,tmin,0.10,0.13,0.21,45.58,year+tmin,0.17,0.09,0.20,47.59
Stage_curfl,24,5,tmax,0.14,0.04,0.06,46.55,year+tmax,0.24,0.00,0.04,48.33
Stage_curfl,24,5,prcp,1.00,0.00,0.00,47.35,year+prcp,0.58,-0.01,0.03,48.47
Stage_curfl,24,5,snow,0.55,0.00,0.00,47.35,year+snow,0.41,-0.01,0.03,48.47
Stage_curfl,36,5,tmin,0.06,0.08,0.11,45.35,year+tmin,0.10,0.06,0.11,47.09
Stage_curfl,36,5,tmax,0.13,0.04,0.06,46.47,year+tmax,0.18,0.02,0.06,48.04
Stage_curfl,36,5,snow,0.21,0.01,0.02,47.13,year+snow,0.13,0.04,0.09,47.54
Stage_curfl,36,5,prcp,0.83,0.00,0.00,47.35,year+prcp,0.48,-0.01,0.03,48.47
Stage_curfr,24,5,tmin,0.01,0.42,0.58,8.94,year+tmin,0.26,0.07,0.10,18.38
Stage_curfr,24,5,tmax,0.13,0.04,0.06,18.75,year+tmax,0.37,0.07,0.10,18.42
Stage_curfr,24,5,snow,0.64,0.00,0.00,19.62,year+snow,0.35,0.07,0.10,18.42
Stage_curfr,24,5,prcp,0.95,0.00,0.00,19.62,year+prcp,0.29,0.17,0.33,18.88
Stage_curfr,36,5,tmin,0.05,0.10,0.12,17.22,year+tmin,0.20,0.09,0.12,18.09
Stage_curfr,36,5,tmax,0.18,0.03,0.04,19.17,year+tmax,0.35,0.07,0.10,18.42
Stage_curfr,36,5,snow,0.35,0.00,0.00,19.62,year+snow,0.13,0.12,0.16,17.39
Stage_curfr,36,5,prcp,0.71,0.00,0.00,19.62,year+prcp,0.26,0.07,0.10,18.36
Stage_curlv,24,5,tmin,0.08,0.18,0.28,73.81,year+tmin,0.22,0.11,0.24,76.34
Stage_curlv,24,5,tmax,0.09,0.07,0.10,74.74,year+tmax,0.21,0.04,0.08,76.20
Stage_curlv,24,5,prcp,0.73,0.00,0.00,76.30,year+prcp,0.61,0.02,0.06,76.49
Stage_curlv,24,5,snow,0.72,0.00,0.00,76.30,year+snow,0.54,0.02,0.06,76.49
Stage_curlv,36,5,tmin,0.08,0.07,0.09,74.79,year+tmin,0.19,0.05,0.09,76.09
Stage_curlv,36,5,tmax,0.09,0.07,0.09,74.80,year+tmax,0.16,0.06,0.10,75.88
Stage_curlv,36,5,snow,0.34,0.00,0.00,76.30,year+snow,0.17,0.05,0.10,75.96
Stage_curlv,36,5,prcp,0.50,0.00,0.00,76.30,year+prcp,0.20,0.04,0.08,76.18
Stage_cursv,24,5,tmin,0.13,0.12,0.21,48.43,year+tmin,0.15,0.09,0.21,50.40
Stage_cursv,24,5,tmax,0.13,0.06,0.08,48.72,year+tmax,0.12,0.04,0.10,50.33
Stage_cursv,24,5,prcp,0.83,0.00,0.00,49.81,year+prcp,0.73,-0.03,0.00,51.74
Stage_cursv,24,5,snow,0.63,0.00,0.00,49.81,year+snow,0.60,-0.03,0.00,51.74
Stage_cursv,36,5,tmax,0.06,0.08,0.10,47.88,year+tmax,0.07,0.05,0.11,49.72
Stage_cursv,36,5,tmin,0.14,0.05,0.07,48.94,year+tmin,0.12,0.03,0.08,50.54
Stage_cursv,36,5,snow,0.23,0.01,0.02,49.66,year+snow,0.20,-0.01,0.03,51.41
Stage_cursv,36,5,prcp,0.38,0.00,0.00,49.81,year+prcp,0.28,-0.03,0.00,51.74
