"","Stage_curd","Stage_curdv","Stage_curfl","Stage_curfr","Stage_curv"
"1985",0.413093216321368,0.000299914839502876,0.590936720798795,0.488450585295196,0.220752789177349
"1986",0.347672364644072,0.00198974251472266,0.644900982161491,0.755067415239696,0.305970448803124
"1987",0.348970347829346,0.0115635864990076,0.684629578228356,0.902599562266253,0.351998345919336
"1988",0.397457510457409,0.0812063558434569,0.725519547291106,0.966598998438429,0.376279491143913
"1989",0.411568423036885,0.000762860676880661,0.613885250417151,0.629954848210242,0.241680770504348
"1990",0.424682580223783,0.0049829878014501,0.657820444609702,0.840451524914419,0.278615972045603
"1991",0.48168899704248,0.00761903998197577,0.661255107485579,0.871601816902779,0.254590953679458
"1992",0.379274612886839,0.00422199055582748,0.657766464398111,0.833077265474793,0.302592248611677
"1993",0.427611677898491,0.00251469568535697,0.640135014243307,0.781739609560631,0.259184046825045
"1994",0.4014326097346,0.00478736699263102,0.658864758221053,0.840226817556782,0.291797600339928
"1995",0.268992602403607,0.0128355919832206,0.695595806264716,0.912443733709446,0.421137496501459
"1996",0.449219759714903,0.00234664748540248,0.636379417540773,0.771930953292856,0.245356841673658
"1997",0.491598449713467,0.00342563081594904,0.642211606924791,0.80204304801076,0.23170820870413
"1998",0.462679352362616,0.00234582184919117,0.635146384914573,0.769952418332949,0.2380717819014
"1999",0.450567961892241,0.00493577155839605,0.654546093708593,0.839550186447078,0.262507228803401
"2000",0.511678459806585,0.0013261953328181,0.616179621289905,0.698038789047895,0.201008578898808
"2001",0.366684362082346,0.00570256940629222,0.66646640112619,0.856601306109314,0.319526939356321
"2002",0.396798314938242,0.00310431608027122,0.64689243271588,0.811535020326254,0.281649720864187
"2003",0.409513012571114,0.00542630763925715,0.660670100564691,0.850743673332912,0.289551114384783
"2004",0.466337687500266,0.00469301544569971,0.652502810594796,0.831479911675105,0.252917107555663
"2005",0.512754359439469,0.00245186198190244,0.630733229741803,0.771983712257161,0.212669262223761
"2006",0.373331333910425,0.00538860416165534,0.66443599047414,0.851919793244318,0.313397209515409
"2007",0.408834099182509,0.0046989022852932,0.65777635665595,0.837768298864712,0.286724813344599
"2008",0.358201469056614,0.0106077670180188,0.682083391786149,0.896390336305396,0.343156154078365
"2009",0.349822726574404,0.00420560692457,0.659912776621465,0.83838044700965,0.32191218694869
"2010",0.337299466420172,0.00608796142798732,0.670864981943931,0.864176098192797,0.342304510245181
"2011",0.413444663602462,0.00429951371658812,0.655078893976038,0.830480585722788,0.281472972139735
"2012",0.389623328969181,0.00413132664474734,0.656293740579299,0.82999516641762,0.295320788680745
"2013",0.453332482580277,0.00166170829588497,0.627063228567023,0.735374287102881,0.234877217665797
"2014",0.383384168727322,0.00397853390326718,0.655902426961644,0.827826808372462,0.29828406778081
