"","StageD","StageDSV","StageFlow","StageFruit","StageVegLg","StageVegSm"
"1984",0.243891919567387,0.539714612501441,0.899189909473902,0.909226722663008,0.933829728100821,0.835231987033699
"1985",0.301144380448466,0.211195652937537,0.786872430795196,0.815169694929726,0.705001346267136,0.647559093156767
"1986",0.347262915618671,0.383356926127998,0.836245564520216,0.781739625906516,0.668232241657206,0.647659514689075
"1987",0.389188119293654,0.58217823882027,0.89839946436167,0.878057988487316,0.883898215435811,0.801534320471383
"1988",0.147389925710719,0.256924022652023,0.756701634862254,0.740910094913903,0.66860778394537,0.568787595726641
"1989",0.11875115802806,0.188697889369164,0.793785941971265,0.8233222382883,0.718351699575772,0.637646996838218
"1990",0.108190481083233,0.280358122829168,0.888792035951271,0.905810013191365,0.842781094545446,0.77687062616376
"1991",0.0175251804789815,0.119375883755744,0.507219749715451,0.521487994205833,0.520079461779726,0.31553809876478
"1992",0.0213026902189619,0.0505319314804811,0.747641662303218,0.864878203469393,0.681963687185018,0.600520885359819
"1993",0.0297991312187547,0.208390701576852,0.780815827521834,0.826978973216329,0.821115788049069,0.641230635529669
"1994",0.0388884436409203,0.375454523752842,0.818275950247797,0.831026346314523,0.882721509889495,0.693083248671381
"1995",0.044959321260888,0.217429216766455,0.788151059016675,0.805763443565921,0.754233901376404,0.616322973023139
"1996",0.0465237104987652,0.306953316880276,0.783614786178283,0.82303232998183,0.87534087691962,0.672938891822623
"1997",0.034216139834373,0.173213658681486,0.840196788654482,0.878667356331033,0.798920082719291,0.697068198730476
"1998",0.0378867898401278,0.265406058361156,0.8012629959348,0.849793442785983,0.877376359101389,0.693338952908384
"1999",0.0551919980134162,0.330421285917923,0.826387685764374,0.833647382860422,0.841040237489069,0.685445476172501
"2000",0.0376925939965367,0.356270058829784,0.857318852386207,0.862928754199814,0.869767285744601,0.724116357886343
"2001",0.0248655304517071,0.216532443721572,0.867592428683984,0.907423812854373,0.878033959250718,0.757816824742863
"2002",0.0398380851797295,0.138897367101009,0.792188233515119,0.836804474053984,0.718661125781602,0.623168753110019
"2003",0.0312477252965828,0.0640481633690324,0.738794722386636,0.817383059557663,0.573394746417634,0.54321210065569
"2004",0.0627175926151824,0.288632670633676,0.771126915843429,0.794717026868628,0.823518525135523,0.634566053143532
"2005",0.0714331570776198,0.274763734481941,0.855035586744889,0.884502856787002,0.86099395133107,0.74391066827866
"2006",0.0370918032350726,0.165131477971299,0.772205047198376,0.824319077543952,0.772040827312395,0.622141644774599
"2007",0.050203733116388,0.256703655658368,0.820232959043819,0.841888176950181,0.816397882686191,0.675979864764874
"2008",0.0276862125184556,0.172584653661949,0.804453156163644,0.852962094123343,0.803753117123666,0.659960161165471
"2009",0.0329782587634692,0.352407029080778,0.87165636552214,0.900805650021628,0.921308044766133,0.780989601095302
"2010",0.0221967854350281,0.341573703779601,0.838932589271337,0.874383791800758,0.917959943222518,0.739629515355328
"2011",0.0188454851380373,0.152012177162466,0.764564420301943,0.804192534697142,0.733812227908276,0.581110074611408
"2012",0.0487076300519152,0.22491605780517,0.856883063035349,0.897555481049763,0.864144959872408,0.749306442719934
"2013",0.0276527679424184,0.153919552862921,0.837719528153272,0.896016005441119,0.84161828689739,0.720743302180868
"2014",0.0506755346348877,0.314003934764425,0.885807984745332,0.911884046792822,0.901496979617851,0.791740178013275
