"","pfl_d_dat","pfl_d_mod","pfl_dv_dat","pfl_dv_mod","pfl_v_dat","pfl_v_mod","pfl_fl_dat","pfl_fl_mod","pfl_fr_dat","pfl_fr_mod"
"1985",NA,0.657630849205476,NA,5.79604631917856e-07,0,0.197835593384772,NA,0.581717362361174,0.333333333333333,0.516651983440338
"1986",NA,0.603670444362767,0,4.65618666331232e-06,0,0.240935958889413,1,0.659412251888009,0.5,0.645865859489913
"1987",NA,0.495342314007321,0,0.000878762790817521,0.4,0.454368214545058,1,0.828491797240483,1,0.878632358445626
"1988",NA,0.52625392321095,NA,0.000473117600912914,0.625,0.466869324164031,0.5,0.818732962786515,0.666666666666667,0.862219166996678
"1989",0,0.504250466746971,NA,0.00067797826872697,0.5,0.450397266398221,0.666666666666667,0.823113940728812,1,0.871534441780293
"1990",1,0.526534157716925,0,0.000258009505178434,0.25,0.411404166383483,0.833333333333333,0.797969519009417,NA,0.840550851979192
"1991",NA,0.612826333385227,NA,7.30345199188383e-06,NA,0.291030980250196,0.333333333333333,0.686236552115845,0,0.676481305988559
"1992",NA,0.563774714934472,NA,4.59250417935588e-05,0,0.34003123847977,0,0.745675441225422,NA,0.770230156806962
"1993",NA,0.453321690352583,NA,0.00846974940888262,1,0.570920104793912,NA,0.879113877969282,NA,0.929746836951689
"1994",NA,0.482974260377217,0,0.00180711740762711,NA,0.493762309074974,1,0.846471138412947,NA,0.897714285874429
"1995",NA,0.499428431418415,NA,0.000760435049552711,0,0.450156872425917,NA,0.825220289642712,1,0.874624619755347
"1996",NA,0.481988903036736,NA,0.00188759383843301,0.5,0.495606272665197,1,0.847437000334008,NA,0.89875749423183
"1997",NA,0.450355618638793,NA,0.0088504053857993,0.615384615384615,0.568287313968964,1,0.879435829411243,NA,0.930376358502362
"1998",NA,0.438675846127195,0,0.0196064413830244,0.777777777777778,0.615313296655069,0.888888888888889,0.894665963304953,1,0.94318468454862
"1999",NA,0.464661241537841,NA,0.00363887913287757,0.5,0.51767212407704,1,0.86071957951819,0.916666666666667,0.913184817125438
"2000",1,0.596276070872193,NA,1.18345158993618e-05,0.166666666666667,0.295794732757521,0.615384615384615,0.700650753891913,0.714285714285714,0.70217744631962
"2001",0.5,0.347800356626451,0.5,0.30144216885243,0.615384615384615,0.679099661118034,1,0.931128095875109,1,0.973075416228572
"2002",NA,0.439346898872543,0,0.0114961375251468,0.555555555555556,0.567622580061225,1,0.88292413278383,0.916666666666667,0.934415935430254
"2003",0,0.397639313254464,NA,0.0584234870445921,0.625,0.624582409641959,0.947368421052632,0.908443106259607,1,0.956458158694837
"2004",NA,0.511372093900866,NA,0.000551856334287918,0.5,0.447378215266808,0.7,0.818772868295792,0.888888888888889,0.865660466473478
"2005",0.4,0.479557124158182,NA,0.00265548860445226,0.625,0.522167543114726,0.866666666666667,0.856325771492106,0.8,0.907041485686043
"2006",0,0.416987731702827,NA,0.0239800973451278,0.625,0.585224283941459,0.894736842105263,0.894219047081409,1,0.94513390127183
"2007",0,0.479263371293804,0,0.00218079909595272,0.571428571428571,0.502955643602196,0.8125,0.850759186575042,1,0.902193921707219
"2008",0.333333333333333,0.449630432567871,NA,0.00388791722179419,0.384615384615385,0.489265316818959,0.875,0.858336879373598,1,0.913520770195277
"2009",1,0.534036636324407,0,0.000442946058922128,0.55,0.478517028135997,0.888888888888889,0.819199542864985,0.75,0.860888809103085
"2010",0.75,0.491964742597168,0,0.00375551649456208,0.733333333333333,0.582521003409249,0.888888888888889,0.868829732043608,0.866666666666667,0.915942886345641
"2011",0.5,0.497685432509932,NA,0.00220006608820255,0.714285714285714,0.545847572175981,0.791666666666667,0.856254406000272,0.875,0.903965154886535
"2012",0.75,0.446393595766185,0,0.0118951251827977,0.6,0.5867400481589,0.92,0.885375862938187,1,0.935428827967724
"2013",0.5,0.460524069582827,NA,0.00209273869665172,0.3125,0.456134107489407,0.909090909090909,0.844031789460318,0.9375,0.899532649438036
"2014",0.333333333333333,0.456974633314757,0,0.00390782463829068,0.5,0.506703147583396,0.8,0.860513684439532,0.954545454545455,0.914196373763954
