mean.sV[1],mean.sV[2],mean.sF[1],mean.sF[2],mean.fV[1],mean.fV[2],mean.fF[1],mean.fF[2],mean.pV[1],mean.pV[2],mean.pF[1],mean.pF[2],beta.sV[1],beta.sV[2],beta.sF[1],beta.sF[2],beta.fV[1],beta.fV[2],beta.fF[1],beta.fF[2],beta.pV[1],beta.pV[2],beta.pF[1],beta.pF[2],sV0[1],sV0[2],sV1[1],sV1[2],sF0[1],sF0[2],sF1[1],sF1[2],fV0[1],fV0[2],fV1[1],fV1[2],fF0[1],fF0[2],fF1[1],fF1[2],pV0[1],pV0[2],pV1[1],pV1[2],pF0[1],pF0[2],pF1[1],pF1[2],beta1.sV[1],beta1.sV[2],beta1.sF[1],beta1.sF[2],beta1.fV[1],beta1.fV[2],beta1.fF[1],beta1.fF[2],beta1.pV[1],beta1.pV[2],beta1.pF[1],beta1.pF[2],mu.sV[1],mu.sV[2],mu.sF[1],mu.sF[2],mu.fV[1],mu.fV[2],mu.fF[1],mu.fF[2],mu.pV[1],mu.pV[2],mu.pF[1],mu.pF[2],sigma.sV2[1],sigma.sV2[2],sigma.sF2[1],sigma.sF2[2],sigma.fV2[1],sigma.fV2[2],sigma.fF2[1],sigma.fF2[2],sigma.pV2[1],sigma.pV2[2],sigma.pF2[1],sigma.pF2[2],deviance
0.998627763,0.990287788,0.99970129,0.986230298,0.557336744,0.546489484,0.899812073,0.881908063,0.992073159,0.997236077,0.120950865,0.122471396,6.30790938,-5.765017663,-0.169763412,-3.040193397,0.048835252,-0.859621142,1.924002011,-1.088021332,0.127679835,7.571114226,-0.765505525,2.582175711,0.998627763,0.990287788,0.999997497,0.242245801,0.99970129,0.986230298,0.999646041,0.774033055,0.557336744,0.546489484,0.569348989,0.337797559,0.899812073,0.881908063,0.984001623,0.715572194,0.992073159,0.997236077,0.993016674,0.999998572,0.120950865,0.122471396,0.060145303,0.648611999,5.11181694,0.18704518,-0.361219001,0.044002791,-0.003875095,0.01209218,-0.167866078,-0.049306669,-0.075541956,0.577063152,0.054878794,-0.031581845,6.589939881,4.624611525,8.11573921,4.271419248,0.230360288,0.186496608,2.195138242,2.010624364,4.829542245,5.888336574,-1.983456407,-1.969232047,4.073148561,1.340979711,15.90312807,1.945461473,8.37E-06,0.044180613,0.258610978,0.110134074,0.107573714,52.22779879,0.387830699,0.324200731,6858.013195
0.99657381,0.992256723,0.999740694,0.981766956,0.598164901,0.549944061,0.910985816,0.861698761,0.99237588,0.998025868,0.098438441,0.11924907,4.127512131,-5.567095124,0.073826586,-3.32474986,0.120489813,-0.679626305,1.490184879,-0.487122356,0.808129878,7.842035501,-0.638416419,2.558932598,0.99657381,0.992256723,0.999944573,0.328729208,0.999740694,0.981766956,0.999759144,0.659567745,0.598164901,0.549944061,0.626753551,0.382445391,0.910985816,0.861698761,0.978456801,0.792876,0.99237588,0.998025868,0.996587579,0.999999223,0.098438441,0.11924907,0.054520607,0.636307234,4.269172796,0.151662685,-0.415085468,0.044809345,-0.050348352,0.016675916,-0.151177635,-0.096005884,-0.055529022,0.834134051,0.042454712,-0.016474931,5.672874361,4.853156841,8.257243391,3.986118398,0.397824668,0.200444682,2.325731601,1.829471551,4.86878508,6.225650301,-2.214696932,-1.999560539,3.597657104,0.959123889,11.42632026,2.14547511,1.89E-05,0.028733085,0.216304865,0.163057883,0.118563224,40.05104218,0.220581034,0.511795842,6774.695266
0.996422451,0.992012463,0.999779607,0.985738419,0.55551768,0.563158777,0.91230724,0.862690643,0.994033017,0.999188215,0.09262378,0.112656816,-0.015021865,-5.479860172,-0.051829715,-4.020026711,0.386101438,-0.907538561,1.261908193,-0.851294199,1.760821003,5.284635405,-0.408037823,2.34411333,0.996422451,0.992012463,0.9963685,0.341187463,0.999779607,0.985738419,0.999767886,0.553740381,0.55551768,0.563158777,0.647733555,0.342190731,0.91230724,0.862690643,0.973507547,0.728401097,0.994033017,0.999188215,0.99896916,0.999995882,0.09262378,0.112656816,0.063563098,0.569602045,4.821084741,0.104898878,-0.406450629,0.129177568,-0.031893079,0.005087986,-0.13400741,-0.067702168,0.271893906,0.538157967,0.024723488,-0.003523326,5.629493372,4.821853217,8.419878885,4.235821772,0.222990157,0.253991811,2.342137475,1.837819698,5.115529018,7.115462887,-2.282011245,-2.063885637,4.588025153,1.310879696,11.08494535,3.494032252,1.66E-05,0.016808743,0.18186866,0.168940551,0.056551872,28.32313395,0.330623208,0.367101652,6733.575733
0.999298462,0.995814938,0.999807872,0.98631239,0.527214426,0.539869616,0.921716716,0.858909784,0.996693063,0.999925744,0.080849063,0.160714268,-0.990176347,-5.455799372,-0.159062588,-3.9245024,0.494266588,-0.535702283,1.547975156,-0.740767717,-0.780466363,6.921405839,-0.850247179,1.57382948,0.999298462,0.995814938,0.998113903,0.504060024,0.999807872,0.98631239,0.999774754,0.587339966,0.527214426,0.539869616,0.646395384,0.407119883,0.921716716,0.858909784,0.982257298,0.743739563,0.996693063,0.999925744,0.992810756,0.999999927,0.080849063,0.160714268,0.03622482,0.480236883,4.576165917,0.060812626,-0.409707703,0.11372034,-0.046864044,-0.019213509,-0.156951399,-0.097198876,0.264182466,0.583443354,0.078608432,0.039779923,7.261534351,5.472039824,8.557155555,4.277482118,0.108965394,0.159817765,2.465903832,1.80626438,5.70842035,9.507919626,-2.430866352,-1.652923156,1.938392047,0.865533484,11.45754827,1.479454918,3.95E-05,0.009167262,0.448027292,0.180254036,0.106861242,28.78848429,0.274196475,0.617439692,6715.168597
0.998818065,0.997431119,0.999872651,0.986459941,0.514654324,0.60797891,0.918312885,0.85610098,0.951177665,0.999903936,0.07761854,0.141991809,0.477807918,-5.238446412,-0.233186793,-3.942568223,0.317442252,-0.595418588,1.246910712,-0.748110535,1.688712901,6.706796709,-1.051093983,1.405890777,0.998818065,0.997431119,0.999266704,0.673325877,0.999872651,0.986459941,0.999839212,0.58562344,0.514654324,0.60797891,0.592926417,0.460931295,0.918312885,0.85610098,0.975072801,0.737916206,0.951177665,0.999903936,0.990605816,0.999999883,0.07761854,0.141991809,0.028574593,0.403006509,4.175976408,0.051741565,-0.396209496,0.11230099,-0.003207733,-0.029636415,-0.147706416,-0.100831412,0.348244163,0.467052401,0.099469668,0.061265545,6.739419422,5.961712734,8.968450043,4.288470087,0.058634089,0.438824555,2.419641892,1.783276534,2.969512967,9.250398257,-2.475152553,-1.798844275,1.073052322,0.535492862,12.76193762,3.258570714,0.000103763,0.009488432,0.162898242,0.11305267,0.156886202,32.1252728,0.702652617,0.26039945,6809.178847
0.996941061,0.996586205,0.999858119,0.986944379,0.53058883,0.574410665,0.920424768,0.857173196,0.985068099,0.99981553,0.071147477,0.141001484,4.545281422,-4.799380392,0.086352736,-3.891715817,0.358598739,-0.441268734,1.419962686,-0.592350665,2.53310298,5.236899566,-0.629823941,1.731755384,0.996941061,0.996586205,0.999967424,0.706227249,0.999858119,0.986944379,0.999869856,0.606751867,0.53058883,0.574410665,0.618009255,0.464709023,0.920424768,0.857173196,0.979529651,0.768463687,0.985068099,0.99981553,0.998797698,0.999999019,0.071147477,0.141001484,0.039202654,0.48119852,3.875734564,0.012687607,-0.400925422,0.138703457,-0.035069941,-0.025257323,-0.153398752,-0.105646451,0.333620804,0.205844497,0.134965722,0.068397549,5.786623451,5.676510948,8.860383102,4.325394946,0.122508312,0.299869704,2.448132374,1.792007257,4.189210817,8.597836785,-2.569195119,-1.806996782,3.710865867,0.562759614,11.04199191,2.604811023,4.47E-05,0.005895531,0.440685424,0.191925129,0.155478964,30.3009827,0.512142801,0.157269702,6769.84137
0.993895634,0.996353214,0.999847826,0.987691142,0.559959698,0.586629509,0.912236159,0.863509029,0.994132449,0.999952085,0.063836561,0.143692852,3.967323877,-4.733573933,-0.087417023,-3.67875558,0.332986083,-0.818015359,1.458538612,-0.760540237,5.919111824,5.685203472,-1.190279005,1.631801051,0.993895634,0.996353214,0.999883785,0.706134102,0.999847826,0.987691142,0.999833927,0.669582038,0.559959698,0.586629509,0.639682086,0.385097739,0.912236159,0.863509029,0.97811419,0.747289038,0.994132449,0.999952085,0.999984138,0.999999837,0.063836561,0.143692852,0.020317559,0.461787154,4.03392033,0.030703349,-0.427208447,0.088985537,-0.026658162,-0.016689341,-0.135979813,-0.102611515,0.366770742,0.305880049,0.17065212,0.006760689,5.092627897,5.610255565,8.790332979,4.385050871,0.240998494,0.350049197,2.341249325,1.844745886,5.13243316,9.946024441,-2.685463998,-1.784951079,6.970477337,0.243223776,11.49398573,2.235161226,1.58E-05,0.002493896,0.225060811,0.130998809,0.021326524,37.5555573,0.37263271,0.190509219,6732.614607
0.993922043,0.995037397,0.999805883,0.983469241,0.537734445,0.576217032,0.922628197,0.854004692,0.990123355,0.999926723,0.083103693,0.127002695,2.812765654,-4.603879909,0.241118116,-2.677842813,0.064990094,-0.61676277,1.457184996,-0.76781651,3.468483065,5.032813306,-1.323730221,1.762164517,0.993922043,0.995037397,0.999632991,0.667515633,0.999805883,0.983469241,0.999847467,0.803453575,0.537734445,0.576217032,0.553844253,0.423236825,0.922628197,0.854004692,0.98084384,0.730772549,0.990123355,0.999926723,0.999689228,0.999999522,0.083103693,0.127002695,0.023553732,0.458704371,5.177796522,0.026506615,-0.475094713,0.071544631,-0.009746516,-0.038987321,-0.154158396,-0.088700513,0.502620068,0.425535006,0.174489848,0.028303265,5.096990106,5.300849876,8.546857824,4.085863553,0.15122532,0.307262923,2.478603927,1.766362204,4.607656672,9.521185254,-2.400905242,-1.927724163,4.893397971,0.143722771,9.533321495,2.395787213,4.98E-05,0.001226644,0.228445408,0.173278494,0.015865651,41.01207641,0.396476772,0.312145365,6653.098016
0.990675667,0.994263158,0.999871053,0.978941396,0.564526045,0.54442305,0.907842891,0.839164564,0.98784145,0.999261054,0.066918743,0.123529822,2.290963903,-4.397304234,0.211066921,-2.375063889,0.229420589,-0.317193075,1.797369389,-0.680340723,3.990728636,3.927857614,-1.145489447,1.773552268,0.990675667,0.994263158,0.999048695,0.680873461,0.999871053,0.978941396,0.999895587,0.812158756,0.564526045,0.54442305,0.61986426,0.465298104,0.907842891,0.839164564,0.983454316,0.725455107,0.98784145,0.999261054,0.999772519,0.999985443,0.066918743,0.123529822,0.022302476,0.453666359,4.899132699,0.007529217,-0.467537766,0.050347471,-0.032164521,-0.036689883,-0.157207661,-0.077076149,0.678680913,0.570719245,0.155026468,0.035697861,4.665759759,5.155093009,8.95598174,3.839162564,0.259551531,0.178161972,2.287576506,1.652025124,4.397489602,7.209546605,-2.635013192,-1.959420083,8.65043108,0.206602927,13.76149073,3.237753143,9.74E-05,0.000814185,0.251915609,0.204348522,0.005204514,47.11223937,0.730288117,0.181361579,6664.475839
0.99174571,0.993448883,0.999869917,0.975753175,0.538968055,0.555181341,0.887948487,0.850032212,0.989244189,0.999033918,0.062120858,0.115753713,3.569283311,-3.749407687,0.024885763,-2.29824398,0.367493541,-0.357085806,2.075555922,-0.227957035,3.058870192,4.303608033,-1.216649417,1.800764028,0.99174571,0.993448883,0.999765546,0.78110875,0.999869917,0.975753175,0.999873114,0.801656526,0.538968055,0.555181341,0.628008456,0.466187262,0.887948487,0.850032212,0.984411506,0.818600841,0.989244189,0.999033918,0.999489886,0.999986926,0.062120858,0.115753713,0.019242786,0.442133741,4.6838823,-0.029476621,-0.465789401,0.019798653,-0.033182029,-0.038557792,-0.158685517,-0.123204163,0.45706647,0.372743825,0.151130953,0.069851099,4.788733664,5.021547044,8.947208675,3.694923982,0.156188966,0.221628109,2.06995503,1.734853724,4.521495068,6.941295094,-2.714539284,-2.033270863,5.920210259,0.172866334,18.40891861,3.190975811,0.000101054,0.001362331,0.173805755,0.11641449,0.004869453,50.329454,0.234930673,0.237954258,6741.796783
