"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV[1]",0.962550187857202,0.06232592628335,0.760514409985723,0.95812764576746,0.988852870432119,0.997643425132473,0.999877860653731,1.56164690927481,9,0,1
"mean.sV[2]",0.944435016045983,0.0674937523174945,0.713684917881734,0.931562201707222,0.960717284537156,0.989483244254449,0.999564553024817,1.32934059521587,19,0,1
"mean.sF[1]",0.88112750984867,0.0809549632184738,0.749655459329297,0.812417038496858,0.864957993688721,0.966435414383739,0.998370381149339,1.49256856463542,8,0,1
"mean.sF[2]",0.960352505207998,0.0701055611397844,0.771378006044962,0.974137690846851,0.992300847015961,0.997775487414144,0.999925164816766,1.81345982280336,6,0,1
"mean.sUV[1]",0.953141086807002,0.109298834432867,0.58282658864768,0.984396905845486,0.995740782338346,0.998842604384994,0.999856403605887,1.63031497747279,8,0,1
"mean.sUV[2]",0.918330675217867,0.135817242641412,0.570141378381981,0.862370553977764,0.992473226821486,0.997724085804083,0.999836695323878,2.59217369195817,4,0,1
"mean.sUF[1]",0.837431837734364,0.162320058037451,0.467195885442868,0.685431248366128,0.909638484132226,0.96543853544803,0.994126423492248,2.95447078807479,4,0,1
"mean.sUF[2]",0.952054191390495,0.109652916981611,0.58261155922187,0.979044714148958,0.994158425183303,0.998477675179569,0.999935593939916,1.52977511898985,10,0,1
"mean.fV[1]",0.199843677582509,0.0308396289514735,0.143324684738533,0.17890540293695,0.198607252750034,0.220579953243351,0.261801328691606,1.0011268856322,2700,0,1
"mean.fV[2]",0.199183482142069,0.0304947218517187,0.142988508930525,0.178536567469879,0.197413544285708,0.21889831879953,0.263795131663668,1.00008664682928,2700,0,1
"mean.fF[1]",0.495755570519181,0.043862284790578,0.40658287369106,0.466913161928833,0.497010922982491,0.524879360161482,0.580159217040141,1.00001419738275,2700,0,1
"mean.fF[2]",0.498829988563768,0.0448127048519432,0.407959818712664,0.468450850324948,0.499281900426004,0.529558061810165,0.587616867539946,1.00107237293702,1520,0,1
