" print(ms.rf3a$summary, digits=3)"
                     mean      sd      2.5%       25%       50%       75%     97.5% Rhat n.eff overlap0     f
mean.phiA[1]       0.8266  0.0608  6.83e-01  7.92e-01  8.35e-01  8.69e-01    0.9268 1.01   628        0 1.000
mean.phiA[2]       0.8356  0.1003  5.72e-01  7.93e-01  8.54e-01  8.99e-01    0.9668 1.14    52        0 1.000
mean.phiB[1]       0.9401  0.0546  7.87e-01  9.22e-01  9.52e-01  9.76e-01    0.9961 1.19    31        0 1.000
mean.phiB[2]       0.8778  0.0677  7.22e-01  8.39e-01  8.87e-01  9.27e-01    0.9798 1.00 13457        0 1.000
mean.psiAB[1]      0.2063  0.0348  1.42e-01  1.82e-01  2.05e-01  2.29e-01    0.2793 1.00 13500        0 1.000
mean.psiAB[2]      0.2108  0.0553  1.17e-01  1.72e-01  2.06e-01  2.43e-01    0.3340 1.00 13500        0 1.000
mean.psiBA[1]      0.4006  0.0607  2.81e-01  3.61e-01  4.00e-01  4.41e-01    0.5200 1.00  7380        0 1.000
mean.psiBA[2]      0.4203  0.0873  2.53e-01  3.61e-01  4.19e-01  4.79e-01    0.5966 1.00  7188        0 1.000
mean.pA[1]         0.6224  0.0731  4.74e-01  5.76e-01  6.25e-01  6.72e-01    0.7601 1.00  1085        0 1.000
mean.pA[2]         0.7000  0.0657  5.68e-01  6.57e-01  7.00e-01  7.43e-01    0.8261 1.00  9220        0 1.000
mean.pB[1]         0.9546  0.0401  8.53e-01  9.35e-01  9.64e-01  9.85e-01    0.9989 1.00  5393        0 1.000
mean.pB[2]         0.9395  0.0756  7.22e-01  9.20e-01  9.66e-01  9.88e-01    0.9994 1.00 13500        0 1.000
beta.phiA[1]       0.3854  0.7847 -1.12e+00 -1.10e-01  3.60e-01  8.59e-01    1.9963 1.00  1626        1 0.698
beta.phiA[2]       2.5080  1.6118 -2.01e-01  1.46e+00  2.33e+00  3.35e+00    6.4156 1.03   136        1 0.966
beta.phiB[1]       4.0277  3.8104 -3.79e+00  1.26e+00  4.36e+00  7.19e+00    9.7183 1.00   559        1 0.833
beta.phiB[2]       2.9698  1.8454  3.39e-02  1.80e+00  2.69e+00  3.82e+00    7.9525 1.00  1101        0 0.976
beta.pA[1]         1.3289  0.6401  6.35e-02  9.15e-01  1.33e+00  1.74e+00    2.6220 1.00  1784        0 0.980
beta.pA[2]        -0.0120  0.4800 -9.47e-01 -3.17e-01 -8.04e-03  2.98e-01    0.9241 1.00 12522        1 0.508
beta.pB[1]         4.4022  3.4864 -2.31e+00  1.70e+00  4.66e+00  7.39e+00    9.7200 1.01   234        1 0.871
beta.pB[2]         4.3441  3.6084 -3.15e+00  1.78e+00  4.66e+00  7.35e+00    9.7199 1.00 13500        1 0.868
beta.psiAB[1]     -0.4428  0.4122 -1.27e+00 -7.12e-01 -4.34e-01 -1.67e-01    0.3565 1.00  4279        1 0.863
beta.psiAB[2]      1.2494  0.4467  3.60e-01  9.60e-01  1.25e+00  1.54e+00    2.1388 1.00 13500        0 0.997
beta.psiBA[1]     -0.4915  0.5493 -1.59e+00 -8.55e-01 -4.82e-01 -1.28e-01    0.5691 1.00 13500        1 0.817
beta.psiBA[2]     -1.3146  0.5511 -2.44e+00 -1.66e+00 -1.30e+00 -9.51e-01   -0.2588 1.00   998        0 0.992
phiA0[1]           0.8266  0.0608  6.83e-01  7.92e-01  8.35e-01  8.69e-01    0.9268 1.01   628        0 1.000
phiA0[2]           0.8356  0.1003  5.72e-01  7.93e-01  8.54e-01  8.99e-01    0.9668 1.14    52        0 1.000
phiA1[1]           0.8647  0.0746  6.80e-01  8.28e-01  8.78e-01  9.18e-01    0.9682 1.00  4192        0 1.000
phiA1[2]           0.9710  0.0409  8.71e-01  9.64e-01  9.84e-01  9.94e-01    0.9996 1.03   768        0 1.000
phiB0[1]           0.9401  0.0546  7.87e-01  9.22e-01  9.52e-01  9.76e-01    0.9961 1.19    31        0 1.000
phiB0[2]           0.8778  0.0677  7.22e-01  8.39e-01  8.87e-01  9.27e-01    0.9798 1.00 13457        0 1.000
phiB1[1]           0.9511  0.1466  4.06e-01  9.88e-01  9.99e-01  1.00e+00    1.0000 1.01   826        0 1.000
phiB1[2]           0.9843  0.0358  9.35e-01  9.82e-01  9.92e-01  9.97e-01    1.0000 1.11  2468        0 1.000
psiA0[1]           0.2063  0.0348  1.42e-01  1.82e-01  2.05e-01  2.29e-01    0.2793 1.00 13500        0 1.000
psiA0[2]           0.2108  0.0553  1.17e-01  1.72e-01  2.06e-01  2.43e-01    0.3340 1.00 13500        0 1.000
psiA1[1]           0.1468  0.0435  7.39e-02  1.16e-01  1.43e-01  1.73e-01    0.2436 1.00  4620        0 1.000
psiA1[2]           0.4750  0.0741  3.30e-01  4.26e-01  4.75e-01  5.23e-01    0.6212 1.00 13500        0 1.000
psiB0[1]           0.4006  0.0607  2.81e-01  3.61e-01  4.00e-01  4.41e-01    0.5200 1.00  7380        0 1.000
psiB0[2]           0.4203  0.0873  2.53e-01  3.61e-01  4.19e-01  4.79e-01    0.5966 1.00  7188        0 1.000
psiB1[1]           0.2987  0.0985  1.30e-01  2.26e-01  2.91e-01  3.63e-01    0.5098 1.00 12291        0 1.000
psiB1[2]           0.1693  0.0561  7.16e-02  1.30e-01  1.66e-01  2.04e-01    0.2910 1.00  1158        0 1.000
pA0[1]             0.6224  0.0731  4.74e-01  5.76e-01  6.25e-01  6.72e-01    0.7601 1.00  1085        0 1.000
pA0[2]             0.7000  0.0657  5.68e-01  6.57e-01  7.00e-01  7.43e-01    0.8261 1.00  9220        0 1.000
pA1[1]             0.8503  0.0706  6.77e-01  8.14e-01  8.62e-01  9.01e-01    0.9511 1.00  7678        0 1.000
pA1[2]             0.6976  0.0689  5.55e-01  6.51e-01  7.01e-01  7.46e-01    0.8232 1.00 13500        0 1.000
pB0[1]             0.9546  0.0401  8.53e-01  9.35e-01  9.64e-01  9.85e-01    0.9989 1.00  5393        0 1.000
pB0[2]             0.9395  0.0756  7.22e-01  9.20e-01  9.66e-01  9.88e-01    0.9994 1.00 13500        0 1.000
pB1[1]             0.9813  0.0636  8.13e-01  9.94e-01  1.00e+00  1.00e+00    1.0000 1.01   731        0 1.000
pB1[2]             0.9760  0.0923  7.56e-01  9.95e-01  1.00e+00  1.00e+00    1.0000 1.00  8475        0 1.000
beta1.phiA[1]     -0.0386  0.0672 -1.71e-01 -8.08e-02 -3.88e-02  3.07e-03    0.0976 1.00  1927        1 0.734
beta1.phiA[2]     -0.0470  0.1335 -3.08e-01 -1.27e-01 -4.85e-02  2.90e-02    0.2209 1.01   962        1 0.666
beta1.phiB[1]      4.2926  3.0031 -1.55e-01  1.62e+00  4.02e+00  6.92e+00    9.6082 1.15    18        1 0.959
beta1.phiB[2]      0.2634  1.4748 -3.33e-01 -1.31e-01 -5.81e-02  1.48e-02    6.2828 1.05   235        1 0.294
beta1.pA[1]       -0.0680  0.0584 -1.81e-01 -1.06e-01 -6.85e-02 -3.05e-02    0.0499 1.00 13500        1 0.884
beta1.pA[2]       -0.0398  0.0299 -9.94e-02 -5.93e-02 -3.94e-02 -1.98e-02    0.0171 1.00  5649        1 0.913
beta1.pB[1]        3.4375  2.6284 -2.39e-01  1.14e+00  3.24e+00  5.34e+00    9.1066 1.31    10        1 0.938
beta1.pB[2]        4.9689  2.9077  4.31e-02  2.52e+00  5.00e+00  7.43e+00    9.7535 1.00  8099        0 0.978
beta1.psiAB[1]     0.0307  0.0387 -4.61e-02  5.29e-03  3.09e-02  5.63e-02    0.1068 1.00  7568        1 0.790
beta1.psiAB[2]    -0.0298  0.0282 -8.55e-02 -4.77e-02 -2.95e-02 -1.20e-02    0.0263 1.00 12999        1 0.864
beta1.psiBA[1]     0.0656  0.0521 -3.61e-02  3.01e-02  6.48e-02  1.00e-01    0.1683 1.00  5033        1 0.898
beta1.psiBA[2]     0.0214  0.0378 -4.74e-02 -3.35e-03  1.92e-02  4.39e-02    0.1022 1.00  1791        1 0.716
mu.phiA[1]         1.6206  0.4315  7.67e-01  1.34e+00  1.62e+00  1.89e+00    2.5388 1.01   472        0 1.000
mu.phiA[2]         1.7861  0.7367  2.91e-01  1.34e+00  1.76e+00  2.18e+00    3.3718 1.04    92        0 0.980
mu.phiB[1]         3.1374  1.0366  1.31e+00  2.47e+00  2.99e+00  3.69e+00    5.5301 1.06    43        0 1.000
mu.phiB[2]         2.1519  0.7531  9.53e-01  1.65e+00  2.06e+00  2.54e+00    3.8832 1.00  5650        0 0.999
mu.pA[1]           0.5122  0.3194 -1.06e-01  3.05e-01  5.10e-01  7.17e-01    1.1531 1.00  1129        1 0.949
mu.pA[2]           0.8700  0.3400  2.73e-01  6.50e-01  8.49e-01  1.06e+00    1.5582 1.00 11408        0 0.999
mu.pB[1]           3.5550  1.2888  1.76e+00  2.67e+00  3.29e+00  4.15e+00    6.8571 1.00  2036        0 1.000
mu.pB[2]           3.5551  1.6116  9.53e-01  2.45e+00  3.34e+00  4.43e+00    7.4059 1.00 13500        0 0.998
mu.psiAB[1]       -1.3609  0.2157 -1.80e+00 -1.50e+00 -1.35e+00 -1.22e+00   -0.9481 1.00 13500        0 1.000
mu.psiAB[2]       -1.3517  0.3352 -2.02e+00 -1.57e+00 -1.35e+00 -1.13e+00   -0.6903 1.00 13500        0 1.000
mu.psiBA[1]       -0.4097  0.2579 -9.40e-01 -5.73e-01 -4.04e-01 -2.38e-01    0.0802 1.00  7862        1 0.951
mu.psiBA[2]       -0.3324  0.3712 -1.08e+00 -5.73e-01 -3.27e-01 -8.49e-02    0.3913 1.00  8241        1 0.819
sigma.phiA2[1]     1.3642  0.9159  3.34e-01  7.84e-01  1.15e+00  1.69e+00    3.5683 1.00   881        0 1.000
sigma.phiA2[2]     3.6239  4.2218  2.96e-01  1.38e+00  2.43e+00  4.32e+00   14.7918 1.05   293        0 1.000
sigma.phiB2[1]     7.6290 10.8822  1.35e-01  1.88e+00  4.06e+00  8.80e+00   38.4666 1.01  1758        0 1.000
sigma.phiB2[2]     1.5565  3.1973  1.16e-03  1.67e-01  6.44e-01  1.68e+00    8.4971 1.03  1824        0 1.000
sigma.pA2[1]       0.7715  0.5055  1.16e-01  4.23e-01  6.71e-01  9.97e-01    2.0500 1.00  5312        0 1.000
sigma.pA2[2]       0.0601  0.0877  7.42e-05  6.59e-03  2.79e-02  7.79e-02    0.2975 1.00  1742        0 1.000
sigma.psiAB2[1]    0.0747  0.1130  6.76e-05  7.59e-03  3.28e-02  9.64e-02    0.3756 1.01  1625        0 1.000
sigma.psiAB2[2]    0.1462  0.1756  2.60e-04  2.78e-02  9.25e-02  2.02e-01    0.5978 1.00  4605        0 1.000
sigma.psiBA2[1]    0.2034  0.2264  6.25e-04  4.33e-02  1.34e-01  2.84e-01    0.8133 1.00 13500        0 1.000
sigma.psiBA2[2]    0.2676  0.2513  3.16e-03  9.16e-02  2.03e-01  3.67e-01    0.9168 1.00  2205        0 1.000
deviance        2571.6594 35.1971  2.50e+03  2.55e+03  2.57e+03  2.59e+03 2642.7055 1.00  4403        0 1.000
$elapsed.mins
[1] 249.886
$n.cores
[1] 3
$n.chains
[1] 3
$n.adapt
[1] 100
$n.iter
[1] 50000
$n.burnin
[1] 5000
$n.thin
[1] 10
$n.samples
[1] 13500
