"","Stage_curd","Stage_curdv","Stage_curfl","Stage_curfr","Stage_curv"
"1985",0.657630849205476,5.79604631917856e-07,0.581717362361174,0.516651983440338,0.197835593384772
"1986",0.603670444362767,4.65618666331232e-06,0.659412251888009,0.645865859489913,0.240935958889413
"1987",0.495342314007321,0.000878762790817521,0.828491797240483,0.878632358445626,0.454368214545058
"1988",0.52625392321095,0.000473117600912914,0.818732962786515,0.862219166996678,0.466869324164031
"1989",0.504250466746971,0.00067797826872697,0.823113940728812,0.871534441780293,0.450397266398221
"1990",0.526534157716925,0.000258009505178434,0.797969519009417,0.840550851979192,0.411404166383483
"1991",0.612826333385227,7.30345199188383e-06,0.686236552115845,0.676481305988559,0.291030980250196
"1992",0.563774714934472,4.59250417935588e-05,0.745675441225422,0.770230156806962,0.34003123847977
"1993",0.453321690352583,0.00846974940888262,0.879113877969282,0.929746836951689,0.570920104793912
"1994",0.482974260377217,0.00180711740762711,0.846471138412947,0.897714285874429,0.493762309074974
"1995",0.499428431418415,0.000760435049552711,0.825220289642712,0.874624619755347,0.450156872425917
"1996",0.481988903036736,0.00188759383843301,0.847437000334008,0.89875749423183,0.495606272665197
"1997",0.450355618638793,0.0088504053857993,0.879435829411243,0.930376358502362,0.568287313968964
"1998",0.438675846127195,0.0196064413830244,0.894665963304953,0.94318468454862,0.615313296655069
"1999",0.464661241537841,0.00363887913287757,0.86071957951819,0.913184817125438,0.51767212407704
"2000",0.596276070872193,1.18345158993618e-05,0.700650753891913,0.70217744631962,0.295794732757521
"2001",0.347800356626451,0.30144216885243,0.931128095875109,0.973075416228572,0.679099661118034
"2002",0.439346898872543,0.0114961375251468,0.88292413278383,0.934415935430254,0.567622580061225
"2003",0.397639313254464,0.0584234870445921,0.908443106259607,0.956458158694837,0.624582409641959
"2004",0.511372093900866,0.000551856334287918,0.818772868295792,0.865660466473478,0.447378215266808
"2005",0.479557124158182,0.00265548860445226,0.856325771492106,0.907041485686043,0.522167543114726
"2006",0.416987731702827,0.0239800973451278,0.894219047081409,0.94513390127183,0.585224283941459
"2007",0.479263371293804,0.00218079909595272,0.850759186575042,0.902193921707219,0.502955643602196
"2008",0.449630432567871,0.00388791722179419,0.858336879373598,0.913520770195277,0.489265316818959
"2009",0.534036636324407,0.000442946058922128,0.819199542864985,0.860888809103085,0.478517028135997
"2010",0.491964742597168,0.00375551649456208,0.868829732043608,0.915942886345641,0.582521003409249
"2011",0.497685432509932,0.00220006608820255,0.856254406000272,0.903965154886535,0.545847572175981
"2012",0.446393595766185,0.0118951251827977,0.885375862938187,0.935428827967724,0.5867400481589
"2013",0.460524069582827,0.00209273869665172,0.844031789460318,0.899532649438036,0.456134107489407
"2014",0.456974633314757,0.00390782463829068,0.860513684439532,0.914196373763954,0.506703147583396
