"","mean.sV","mean.sF","mean.fV","mean.fF","mean.fUV","mean.fUF","mean.dV","mean.dF","mean.dUV","mean.dUF","deviance"
"1",0.830222306603197,0.852534994703617,0.484308601311148,0.544246371211989,0.488780027543626,0.477414866986297,0.5079862844287,0.506328181072473,0.480023554903264,0.449359768504902,5506.88520865337
"2",0.839463538526691,0.837754980259877,0.506880629016947,0.56908148386757,0.516123481070483,0.48242052072007,0.490051516679939,0.501069050438779,0.513107107807919,0.453146588840891,5547.36864555509
"3",0.827246878613316,0.837476839458401,0.475075993958942,0.526394841670614,0.472117997324909,0.45843203720168,0.509442319130841,0.494800530476048,0.517981145561115,0.502894937963332,5646.69000386045
"4",0.829317329786894,0.848499000984975,0.505198603775292,0.535668578577029,0.53388415895063,0.504600329996283,0.496373096403577,0.507511952068519,0.513289601233864,0.499561010164145,5607.11234760134
"5",0.83030090099205,0.843492314356162,0.476292027169607,0.524531285050053,0.528897499572432,0.442015587529067,0.507311576598634,0.50149588207051,0.457881292719196,0.525080612848593,5525.16522135789
"6",0.819580202045765,0.833179841457106,0.499010666987154,0.539585641326936,0.530199979090225,0.500177767827023,0.490218247764126,0.525114026744032,0.473929517601851,0.511258608392132,5608.78668054546
"7",0.855328683102665,0.844843902471578,0.502509639617064,0.477704025883315,0.510681502340362,0.461922631350218,0.502255108289943,0.507910828847315,0.462323722913544,0.56597634929189,5508.65393201656
"8",0.823511849893454,0.859992622562657,0.503303564532365,0.535218199353524,0.48316244820892,0.497766860229727,0.493480736065758,0.518179754235647,0.45570050535274,0.508616127848519,5494.38412561251
"9",0.845725500189247,0.836319814045013,0.491891016980947,0.496984928126165,0.515600964700026,0.461963528503405,0.495124603641026,0.488519429466426,0.489959687198361,0.498021897469065,5500.09403895513
"10",0.850680928719605,0.856178996088728,0.464984125217169,0.502401307528575,0.491510733725723,0.475807623797617,0.505490498127014,0.511113649642338,0.517499099002029,0.468095721012403,5557.08449159367
"11",0.844377235284136,0.847780320371828,0.501244202811644,0.485591067745014,0.506940356390022,0.482283547480948,0.480606692056799,0.495092720525748,0.532665752786177,0.4267961208737,5503.47106653597
"12",0.840358490050024,0.838777781063507,0.512133874927471,0.550093462509247,0.489873482059965,0.481892838195664,0.512989216407614,0.483345098267095,0.527331067652701,0.458374220673214,5587.60883197073
"13",0.843287281746865,0.852028538773577,0.462481412039532,0.462944012512017,0.492498048416416,0.495086096547446,0.47252707447974,0.526274617345172,0.509405668185791,0.492018859541094,5553.72472865712
"14",0.831336214443408,0.838607077408295,0.480242499515771,0.52431891452064,0.505597753713988,0.45496671256507,0.511049957403593,0.501342467992114,0.488011821757397,0.478039877451001,5567.07089850794
"15",0.825089894504824,0.842400340821242,0.481923686470592,0.529894273068293,0.526964287109666,0.491616467021987,0.494043969368102,0.49514374891118,0.487335178178723,0.485801845616565,5529.80114381916
"16",0.834522828563884,0.846672491289315,0.476569191773792,0.513612642569437,0.471068075973372,0.445934439136713,0.488957739205187,0.517750060298978,0.467960775148782,0.49169620021534,5501.71628265584
"17",0.853218235655137,0.848796018251998,0.516510997881281,0.471218811019382,0.488920038993731,0.402888460737745,0.51667819178879,0.498664818138675,0.508455497713069,0.455782927365863,5543.02932677238
"18",0.827477894906503,0.836433684927676,0.510590138569143,0.551718613492905,0.527784369262959,0.490469196375126,0.517466147211779,0.494393535674347,0.516603547731858,0.474547518793235,5642.64954728406
"19",0.843463576316742,0.845298387933831,0.507915917802602,0.489582545123556,0.495949605265527,0.495644832750094,0.512395648070488,0.505328370293258,0.483700611338112,0.525144990232995,5564.76962831634
"20",0.837249038772292,0.846826869961576,0.479137639919048,0.525553425844545,0.456892108922108,0.494559922024791,0.497028689821812,0.496657873343925,0.488543531705787,0.488095032062664,5509.13115902683
"21",0.841634435347042,0.843296428406229,0.508591273294161,0.519075816593353,0.487426003329481,0.425384855997615,0.49847722572814,0.519801347133961,0.489970559574798,0.525020014126929,5587.62242565733
"22",0.854807338451641,0.846990458134678,0.51051635382668,0.489877169654213,0.49035681680055,0.456259571223523,0.476013342519367,0.522772996185244,0.50047343131536,0.51975934436187,5531.01607127144
"23",0.836640772322816,0.842312147277526,0.504697780674165,0.491591861577522,0.526249049600716,0.487918573108091,0.504344800298924,0.480351118891192,0.487296177643908,0.469693385239346,5484.59061872609
"24",0.823369231131529,0.846058255214857,0.512436712250592,0.528640907163414,0.494182122813989,0.451354204312082,0.504079340254821,0.528393084990373,0.498256010564575,0.521915976086113,5665.55592206407
"25",0.835896158905343,0.831811591147123,0.515353393005703,0.498054561701103,0.512845993426262,0.459328341679229,0.499268735877718,0.504091019805075,0.489301782735179,0.482580518731115,5558.97406685152
"26",0.843234900874137,0.857891993176481,0.505715660114198,0.517693594445264,0.477087473099134,0.454969510645983,0.51474304378367,0.524544367013171,0.520957797858119,0.500369185155993,5647.92584112733
"27",0.829447132417949,0.850173031977379,0.51050043609677,0.525070675717454,0.476334441499862,0.483221158021224,0.489982910959282,0.485507807192016,0.541667667168896,0.510895107777358,5615.58982337729
"28",0.828568899175387,0.83277584803288,0.496954794857133,0.536125361577395,0.513134202433145,0.491255751528383,0.54095532533773,0.504833793850835,0.554085749075782,0.440510275911626,5780.90780605754
"29",0.83706202225785,0.837403756637082,0.507787441937757,0.522985286593878,0.498233811647013,0.50699979024555,0.497547285490778,0.487560894137041,0.548559826224762,0.407776541487546,5581.4092984515
"30",0.840664412283024,0.849072677004189,0.478721869470569,0.523173750757344,0.502337690492176,0.439280010501712,0.476010447532852,0.526326694447433,0.515579334615519,0.54220575493099,5614.71046785278
"31",0.815837154669373,0.84546997582338,0.541567051469163,0.523684768640102,0.509059798368722,0.427851845481404,0.514134997303474,0.473403776456137,0.4965034170711,0.549209235381676,5609.40199411543
"32",0.836140263841435,0.841339393740102,0.487500459275869,0.532225032790465,0.537925579967671,0.476575180446886,0.483666914978064,0.482994824795332,0.503488338420229,0.534121153120806,5532.18368773746
"33",0.829838502531596,0.840395665416084,0.485829206866003,0.512315091183317,0.480859340850538,0.454007493360254,0.52266983034922,0.513183931625087,0.479259582075454,0.55134148587619,5650.3022905839
"34",0.837889679873988,0.825600880445661,0.468689795016702,0.542033614998825,0.494634454303035,0.443059603587268,0.475874906441633,0.499938884828584,0.428524260089169,0.644049839700684,5497.37140187681
"35",0.852581931368115,0.837919015641511,0.489173544147004,0.552192443042374,0.492139766018624,0.458807592586368,0.486161183420334,0.522815475244389,0.460880445795478,0.585837928495943,5537.08109007812
"36",0.830550849832964,0.846249934552545,0.487790040399729,0.52049115636444,0.508813411121782,0.458494151892568,0.479824555376474,0.522225949480221,0.468092257981485,0.614855022624336,5583.51888897469
"37",0.84137280520359,0.85095591557046,0.52837190796746,0.536387205134971,0.512864347313586,0.429088386288372,0.503241525199423,0.50668761257436,0.493073737725903,0.478854104938158,5528.99673564696
"38",0.839109401938292,0.86107722697283,0.490517652453334,0.526299296186447,0.536385824311135,0.449087770355951,0.493577761754402,0.53368747221826,0.496790772330043,0.566074927287483,5620.37704631729
"39",0.832109032288941,0.859002543937913,0.520446304782138,0.54135795636861,0.442017027325139,0.481711452781593,0.484738366733012,0.490461844040771,0.455756377933627,0.611351393743184,5473.67700297779
"40",0.854004896768518,0.853250728375606,0.479624294686742,0.505199322278509,0.499593207508122,0.537679526257225,0.483021441639144,0.483971001279829,0.477777165094048,0.512632106664063,5404.43486115852
"41",0.851955296699597,0.833489577971302,0.488149614165434,0.497991006087024,0.49157508784692,0.440681367503734,0.489505796950018,0.5137192422476,0.515141378300253,0.460658880086443,5562.16137383408
