"","mean.sV","mean.sF","mean.fV","mean.fF","mean.fUV","mean.fUF","mean.dV","mean.dF","mean.dUV","mean.dUF","deviance"
"1",0.683487590066213,0.880494501014858,0.327050178998455,0.51190825220961,0.278648588032505,0.301943573877243,0.539993304819238,0.303755431774853,0.693399252256821,0.274415076004271,3693.52507422712
"2",0.689114330644113,0.859995885178679,0.298355924819459,0.477054804214854,0.215535473383901,0.312907390894243,0.519849342192368,0.281041660756892,0.701876300878859,0.240362299051226,3641.44675403358
"3",0.689891296466462,0.883841529068923,0.287770470465762,0.540659298080655,0.195383939564656,0.311653657306878,0.520412881197652,0.267488992732257,0.678903464803826,0.32951178101992,3601.28558952718
"4",0.686206879780712,0.891736081827973,0.275660965546501,0.52616981958798,0.176788804474541,0.302382416882891,0.516995626056305,0.268847585656724,0.656492336938178,0.335487638569303,3562.31551435993
"5",0.698742863107363,0.889420554288475,0.303980234944313,0.51123931005414,0.234445570606726,0.344610052163226,0.490935246926492,0.282247406121,0.655799126850372,0.456484158253353,3573.64515749279
"6",0.687037735385823,0.882156327687629,0.275312079064427,0.495267511587689,0.242161080058554,0.311501361460124,0.521158265845614,0.259207657281839,0.653865763117521,0.331003141093895,3557.22555244016
"7",0.677569355203526,0.880189776253625,0.259696616534001,0.521977927277546,0.173344197778504,0.362514597197046,0.474683425686985,0.256450423710092,0.665107757936842,0.342069499433174,3530.65940854595
"8",0.687987826386757,0.884089384031159,0.309271096556376,0.491281798635859,0.291658238471042,0.368585876720968,0.522280491777052,0.274375240772692,0.626939041538715,0.409524778883287,3578.96833162713
"9",0.694197566468779,0.888782276890089,0.274221565474667,0.464054277593061,0.213561300560456,0.278198363323446,0.527416490923584,0.280526025994518,0.692414709366179,0.322819816587406,3633.14282496131
"10",0.698434927411363,0.898001704912553,0.299856567913663,0.492390692762523,0.22954474388673,0.268422558059739,0.521845801490845,0.28475555880493,0.697345820078399,0.265866746618419,3584.94760850071
"11",0.721564157261107,0.896204303264307,0.299163409839383,0.48040271570577,0.174264173954797,0.297756029159987,0.490773818507711,0.283159219418364,0.712311053331556,0.304460741622967,3551.37029493111
"12",0.688824295407361,0.87564007367365,0.305535470745193,0.498924842622444,0.193941965875638,0.338329207466938,0.48594485471227,0.274464158326117,0.698054104780761,0.298459504883268,3583.85318817036
"13",0.701004230162834,0.873673949046097,0.26103869362799,0.49386257890776,0.229720881425517,0.312046980359595,0.509054681692899,0.285950410420718,0.660408044742619,0.390061247120488,3607.43406318099
"14",0.690142395711829,0.88595291428867,0.295261006845595,0.509956494166205,0.175296107208853,0.317878047985974,0.532446542316766,0.291576203482202,0.698833427003896,0.318294145025907,3675.29355055281
"15",0.695514713969348,0.876781064527333,0.289475971512451,0.504740440732712,0.303378434571196,0.343079223760427,0.515598782430665,0.240534353578084,0.659387102098746,0.302948089148511,3514.88945060468
"16",0.691460815666101,0.874048390115066,0.300119145439093,0.455120852191041,0.254688542868228,0.33357083730096,0.508405681253467,0.296589198842213,0.637239624867868,0.390327241857281,3606.49387384163
"17",0.67316479858812,0.890246057889807,0.298884208334136,0.554496464659283,0.305818332293283,0.297001338350803,0.520155141840432,0.293105729198256,0.6909863136,0.296193832879854,3662.36913947538
"18",0.689989829012839,0.878163341087367,0.287283664128941,0.49646685051649,0.271712758126025,0.343766546218447,0.513062321374578,0.258838847796017,0.668771991734734,0.305790404269061,3555.14025254213
"19",0.686789214567917,0.886838897484138,0.318724019075859,0.472890560496058,0.214032606232955,0.309998251836734,0.510391374308044,0.306154293623852,0.707673902212099,0.322056661350397,3682.09672115532
"20",0.69575155445552,0.88705790347333,0.335279020472999,0.49983084431594,0.219689880454132,0.269200203641141,0.521325095037395,0.282051108109838,0.680342797715239,0.324027180703512,3609.28795466848
"21",0.690187567255572,0.887374960800726,0.304065464295962,0.526923361540005,0.243374545794473,0.33265338247516,0.539058121310854,0.289610214584875,0.684587196846649,0.261376340785304,3626.8530723059
"22",0.693122352963715,0.877467785645835,0.278495466411395,0.492818538251506,0.26675375337454,0.309916914215617,0.514599136393756,0.302540444351266,0.689525281104919,0.277600789163951,3634.36483145049
"23",0.652844889443091,0.878164826702204,0.294137377204938,0.520265294785497,0.230859271984285,0.329332912944354,0.530192835187131,0.303537266914213,0.639042752318661,0.320629218489604,3673.85595386631
"24",0.6558918393213,0.901217716124059,0.329908537736259,0.502355638583483,0.17634082348595,0.316962392538682,0.485749578984671,0.263576767309377,0.643995743597501,0.397076241097626,3551.1698202982
"25",0.70797608750955,0.891422864926455,0.26514227766389,0.483801401753439,0.25078346753459,0.32478043559243,0.523645837679388,0.297872015653781,0.700109065616715,0.326304241047751,3639.49456617234
"26",0.661536464127005,0.877474331620577,0.322609207707013,0.503877080737088,0.235521074654558,0.34169025536265,0.548661703980796,0.271819374503147,0.685173921724747,0.348968129793348,3722.13513922453
"27",0.670326127541663,0.890812764472217,0.28130579837639,0.481427965813391,0.217435593508189,0.295940104142667,0.531673696120187,0.268676715433831,0.685191292739854,0.326217462922966,3643.62447246333
"28",0.699857935764215,0.870896091951566,0.283952836906447,0.513561590890463,0.241331647964874,0.375349601680216,0.47819957675798,0.282958816412361,0.69957986827197,0.329988835546893,3595.54024753668
"29",0.680492785005356,0.888043916003809,0.343583463066445,0.47418273360888,0.253923581886642,0.305625981630209,0.497133805191607,0.286645513838039,0.673618817798518,0.262065875530167,3559.66742375938
"30",0.683795450756633,0.891453783963442,0.277027432717877,0.500962985508589,0.276711288524346,0.365211421105981,0.518240076637211,0.305328075078057,0.698435433162006,0.34243088854657,3685.91944943555
"31",0.68842806829161,0.885870015549209,0.344711356119112,0.503537461807,0.210004681373125,0.29287646903146,0.559207438427082,0.32709628844445,0.70880371909377,0.299403153547219,3785.07365192071
"32",0.714275931919124,0.892879119568387,0.344391905374588,0.490965817288726,0.24323835261402,0.336500580397355,0.502426071581296,0.289557224922149,0.689234565311595,0.344095088915355,3577.18315238747
"33",0.708270034935936,0.888020155855178,0.293898582460251,0.512084895262903,0.200395491829184,0.349397351460628,0.527996184909564,0.28641080834279,0.717057437055168,0.395622734397739,3696.70904085683
"34",0.68207444827047,0.876566353706914,0.262574486558187,0.466209409969828,0.24108415253736,0.346297513432435,0.55142627177066,0.270311823915931,0.692102545127397,0.296537029402771,3679.74834697946
"35",0.713673272712763,0.892687287967393,0.290074910991093,0.473381393831036,0.310135325645416,0.327482318161333,0.528773106085252,0.278289709218132,0.698248570274586,0.304018128581648,3596.67098639728
"36",0.70782209963522,0.890105515603459,0.268546863949871,0.499703868248317,0.236332512678177,0.296174286479674,0.51209575567523,0.268767674704175,0.6516951717079,0.294824502309535,3493.66616907594
"37",0.68124543712529,0.890657285558853,0.304701659183809,0.512845404491633,0.176208003945475,0.282143384174943,0.500158268724331,0.312859235459978,0.65549205197731,0.347322860955355,3616.17519604555
"38",0.676804974287435,0.886503943074318,0.321292540430401,0.536351534819332,0.27814983836051,0.305585808243938,0.485407834189736,0.263420531671388,0.661138419132811,0.333566069244638,3536.18908580983
"39",0.694006325990938,0.896964379437038,0.267380764373202,0.49302896991895,0.173535481899526,0.306449209770024,0.529240158170664,0.292492173134419,0.672891474328462,0.361278956314836,3630.93198645638
"40",0.692226451221977,0.881715355192391,0.281963031004937,0.458294001894296,0.221044923337309,0.345771745272948,0.519275861390796,0.253484346644713,0.699610895873041,0.318863767942431,3603.21355148677
"41",0.695295160137519,0.888186706489969,0.318944334075928,0.487548862756691,0.325717471806201,0.343892269866277,0.554633380591949,0.282818593440618,0.683674856798441,0.323922285784157,3670.19765857548
"42",0.694072185192262,0.880037413083502,0.31984261695321,0.486220002910423,0.266374847298322,0.308139194660035,0.512280033170366,0.292629611443451,0.711969647564049,0.298311748804636,3658.03483760244
"43",0.709549345349407,0.867069742764769,0.301578566788516,0.539420809155549,0.261905707158006,0.363454758129174,0.507475896008276,0.280870418622644,0.649604456712085,0.338889340881842,3560.95032493578
"44",0.683786602990207,0.890222464226235,0.309984960912108,0.458743938656216,0.211058027779909,0.328456439163798,0.486388760853422,0.26148179070182,0.691374060190593,0.272196757935902,3527.70669317362
"45",0.687763840290538,0.888887160510385,0.339147300606975,0.495351071751348,0.189848168346322,0.350044543978409,0.530822458306904,0.262050880742403,0.678656662122871,0.255779754634657,3566.15861521563
"46",0.692832815470327,0.874101514470295,0.275627860319027,0.510419353223171,0.229587861730002,0.362260015753417,0.530756007785621,0.24128437760214,0.70532009708176,0.289408526458195,3606.88144615229
"47",0.696408916243106,0.891975082311811,0.262302402296814,0.52646996951566,0.235860647310524,0.325729671147805,0.506099484454428,0.276732552035841,0.671729080236918,0.332191680105473,3558.86484294718
"48",0.698715260143988,0.882232238168404,0.257009484418982,0.480234969766807,0.193538017737258,0.357550203557624,0.520141795002811,0.291611961964225,0.66875447790345,0.313106749286133,3602.11941206132
"49",0.704135613321215,0.898277636700695,0.263739470583992,0.483341802986765,0.25001415856239,0.295649228447366,0.537017746132013,0.283726915288868,0.683729095848068,0.295317288810154,3593.88409055391
"50",0.713776724723943,0.901244136089954,0.318441911272987,0.481058292113066,0.22796602638793,0.29578684186095,0.53179682149957,0.306331807576366,0.688183010867123,0.316090940166168,3617.76537950674
"51",0.689244994214439,0.893007922423392,0.331890372579775,0.471791775158477,0.201016596240054,0.318922127915792,0.538993048085331,0.270636137825982,0.728161802367844,0.309801810339007,3690.80916382857
"52",0.69823690006292,0.880074258887927,0.282552655916328,0.510420692127764,0.278902693595409,0.300318873461763,0.538399342995106,0.284374807420435,0.749164420043841,0.22665632640763,3702.66800272964
"53",0.710170562822677,0.887015218833038,0.269287036508767,0.470899302994944,0.27645502094111,0.273196474757182,0.530020160677394,0.296541338427948,0.680846866842953,0.231977127221699,3574.54776452368
"54",0.668461652180326,0.89096314948525,0.303588918318651,0.488367470439617,0.212387291228653,0.338682732484816,0.499600259443162,0.264011806545277,0.694828560671701,0.345515302120226,3614.13350559881
"55",0.688303354128173,0.903174165772873,0.270442522076024,0.510764080625489,0.272762282041242,0.355413811055415,0.496383984173257,0.294855513909367,0.674962475542628,0.28906615431675,3549.07987320536
