"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.sV",0.823158067462139,0.0145058282905754,0.794511776477071,0.813420763110205,0.823134294746494,0.832751779231504,0.851375178098796,1.00264120147032,698,0,1
"mean.sF",0.805800365535631,0.011383167664864,0.782219045486055,0.798334784266108,0.806068840599397,0.813889736097263,0.826572996197339,1.00063698829614,1642,0,1
"mean.fV",0.498757595977507,0.0414607166432277,0.423613624028138,0.469420208529809,0.497475975649056,0.525178940685101,0.584686669741998,1.03119001179297,77,0,1
"mean.fF",0.721358254848286,0.033705942168025,0.645141263356591,0.701001148143972,0.724545490014923,0.745518226070858,0.778071268274756,1.06311931440298,47,0,1
"mean.dV",0.477483812246524,0.0578909702211244,0.354391082919707,0.439168179473922,0.482504628250548,0.518204618076899,0.582640607241898,1.04686905774978,57,0,1
"mean.dF",0.491064418801955,0.0349531086331195,0.41576527018431,0.470234683585555,0.49429102651301,0.514763719294975,0.551357761572157,1.06530642760812,47,0,1
"deviance",6759.74200188001,51.4882553136179,6658.52995676923,6724.68605983656,6759.3500749562,6795.67627267687,6862.26683052496,1.00211598517496,955,0,1
